root,provider_or_origin,role,access_note,acquisition_script
data/downloads/bogota,DANE and Bogota station providers,downloaded_source,Confirm version and redistribution rights with provider,scripts/download_data/download_bogota_data.R
data/downloads/cdmx,INEGI and Mexico station providers,downloaded_source,Some census laboratory access may be restricted,scripts/download_data/download_cdmx_data.R
data/downloads/santiago,INE and Santiago station providers,downloaded_source,Confirm version and redistribution rights with provider,scripts/download_data/download_santiago_data.R
data/downloads/sao_paulo,IBGE and Sao Paulo station providers,downloaded_source,Confirm version and redistribution rights with provider,scripts/download_data/download_sao_paulo_data.R
data/raw/merra2_aerosol_products,NASA MERRA-2,source_granules,Earthdata account for acquisition,scripts/download_data/download_merra2_data.R
data/raw/merra2_country_pm,NASA MERRA-2,country_reference,Record original collection metadata,scripts/download_data/download_merra2_data.R
data/raw/cities_shapefiles,Existing legacy geographic inputs,legacy_specification_input,Origin and producing revision need review,not_produced_by_current_pipeline
data/raw/pollution_ground_stations,Existing legacy balanced station panels,legacy_satellite_input,Origin and producing revision need review,not_produced_by_current_pipeline
data/_legacy,Coauthor supplied originals,legacy_comparison,Local restricted audit inputs; do not assume redistribution permission,external_supply
data/downloads/bogota/metro_area/SHP_MGN2005_COLOMBIA.zip,DANE,offline_preparation,Preserve 2005 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_bogota_data.R
data/downloads/bogota/metro_area/SHP_MGN2018_INTGRD_MPIO.zip,DANE,offline_preparation,Preserve 2018 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_bogota_data.R
data/downloads/bogota/metro_area/SHP_MGN2018_INTGRD_MANZ.zip,DANE,offline_preparation,Preserve 2018 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_bogota_data.R
data/downloads/bogota/metro_area/SHP_MGN2018_INTGRD_SECCR.zip,DANE,offline_preparation,Preserve 2018 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_bogota_data.R
data/downloads/bogota/metro_area/bogota_loca.gpkg,Bogota locality source,offline_preparation,Preserve archived locality definition source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_bogota_data.R
data/downloads/cdmx/metro_area/mg_2024_integrado.zip,INEGI,offline_preparation,Preserve 2024 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_cdmx_data.R
data/downloads/santiago/metro_area/Cartografia_censo2024_Pais.zip,INE,offline_preparation,Preserve 2024 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_santiago_data.R
data/downloads/santiago/metro_area/2017/GRAN_SANTIAGO_13_metro.geojson,INE ArcGIS,offline_preparation,Preserve 2017 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_santiago_data.R
data/downloads/santiago/metro_area/2017/GRAN_SANTIAGO_13_zonas.geojson,INE ArcGIS,offline_preparation,Preserve 2017 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_santiago_data.R
data/downloads/santiago/metro_area/2017/GRAN_SANTIAGO_13_count.json,INE ArcGIS completeness response,offline_preparation,Preserve 2017 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_santiago_data.R
data/downloads/sao_paulo/metro_area/sp_municipios.zip,IBGE,offline_preparation,Preserve 2010 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_sao_paulo_data.R
data/downloads/sao_paulo/metro_area/sp_setores_censitarios.zip,IBGE,offline_preparation,Preserve 2010 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_sao_paulo_data.R
data/downloads/sao_paulo/metro_area/sp_weighting_areas_2010.rds,geobr unfiltered SP weighting areas,offline_preparation,Preserve 2010 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_sao_paulo_data.R
data/downloads/santiago/census/2017/censo2017.duckdb,censo2017 source database,offline_preparation,Preserve 2017 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_santiago_data.R
data/downloads/sao_paulo/census/2010_population.parquet,censobr unfiltered population Parquet,offline_preparation,Preserve 2010 source; new acquisition writes .source.json; historical source versions require review,scripts/download_data/download_sao_paulo_data.R
