"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-01-01,0,5.7672527864483e-10,2.66735056264622e-09,3.47095824304589e-10,1.56221380276378e-09,1.5144880904927e-09
2023-01-01,1,5.92645599262198e-10,2.9804148038437e-09,3.94912047507745e-10,1.63138902387061e-09,1.93915106194709e-09
2023-01-01,2,5.52155487998363e-10,3.11656789264703e-09,4.2720027515486e-10,1.49665979609637e-09,1.8720245353876e-09
2023-01-01,3,4.7757725551989e-10,3.1230140695726e-09,4.5074835530734e-10,1.26134636069253e-09,1.69034075625518e-09
2023-01-01,4,4.09289990788153e-10,3.09963699152149e-09,4.7587167539831e-10,1.04476738371773e-09,1.49214063327463e-09
2023-01-01,5,3.43088224497023e-10,3.04984526522389e-09,5.06263475585911e-10,8.23119072901335e-10,1.14601927947433e-09
2023-01-01,6,3.41594946773327e-10,3.1874358707995e-09,5.58357526880826e-10,8.01264721239647e-10,1.88186510818866e-09
2023-01-01,7,3.40478478744188e-10,3.25329185812961e-09,5.99508553911221e-10,7.64935337294048e-10,2.23466933846339e-09
2023-01-01,8,3.5917074869829e-10,3.40998296266548e-09,6.4145821987438e-10,8.13946465783033e-10,2.45212938843054e-09
2023-01-01,9,3.86994492007631e-10,3.62467478254302e-09,6.82388257011723e-10,9.15666098499912e-10,3.31919980389728e-09
2023-01-01,10,3.88412496610258e-10,3.77481468305518e-09,7.09082514926962e-10,9.55063028662551e-10,3.70960573370382e-09
2023-01-01,11,3.40927897024557e-10,3.78448294924283e-09,7.15947023888219e-10,8.64156857183218e-10,3.14752290897502e-09
2023-01-01,12,2.91363377868947e-10,3.08462633213935e-09,5.56863555267739e-10,7.49584061487951e-10,2.44843367802616e-09
2023-01-01,13,2.55954007988279e-10,2.06724592999308e-09,3.42642997308573e-10,6.73761435532327e-10,1.76729808565312e-09
2023-01-01,14,2.52171505898957e-10,2.03866212800108e-09,2.8683155850473e-10,8.55536641530819e-10,1.40201938947371e-09
2023-01-01,15,3.75545039510428e-10,2.05278083420524e-09,2.62724147992444e-10,1.76605619017778e-09,1.40640277201953e-09
2023-01-01,16,4.08622552461324e-10,2.19766449482961e-09,2.63125049526636e-10,1.88645921106456e-09,1.5060749314344e-09
2023-01-01,17,4.44322079129478e-10,2.3974666696347e-09,2.69236605232592e-10,2.07936978746659e-09,1.52903467665055e-09
2023-01-01,18,7.04250435745735e-10,2.57991161767279e-09,2.87091711514975e-10,2.62835930797678e-09,1.82095372114333e-09
2023-01-01,19,7.97632515592284e-10,2.86977064334337e-09,3.0740832102083e-10,2.86930990078815e-09,2.04454031482726e-09
2023-01-01,20,9.82463776999509e-10,3.56873153251058e-09,3.56587481764592e-10,3.4218456956836e-09,2.37833908123264e-09
2023-01-01,21,1.12529630058589e-09,3.75070952074452e-09,3.85026122096122e-10,3.91583432346465e-09,2.91508750471792e-09
2023-01-01,22,1.12041442790201e-09,3.41160011352315e-09,3.85848075712403e-10,3.34785421607364e-09,2.80106404737523e-09
2023-01-01,23,8.23214385547999e-10,2.44445352848288e-09,3.49032414082018e-10,1.81906167906476e-09,1.2931524739912e-09
2023-01-02,0,5.96692528720411e-10,2.10233763731082e-09,3.48204520772555e-10,1.18433307605414e-09,8.0622147846654e-10
2023-01-02,1,4.84920437138214e-10,2.06118389023402e-09,3.63853114304646e-10,9.43376821105346e-10,6.26235618916837e-10
2023-01-02,2,4.10812911466607e-10,1.99571847936397e-09,3.68190727906281e-10,7.44147299336362e-10,4.68386884833194e-10
2023-01-02,3,3.80987297265989e-10,1.95273730518863e-09,3.64452634737944e-10,5.98956606534529e-10,5.8932925206534e-10
2023-01-02,4,3.42154499177738e-10,1.95820493154031e-09,3.67556318714435e-10,4.9071141594581e-10,5.97926708145735e-10
2023-01-02,5,3.10163561501042e-10,2.01719507764153e-09,3.78945930190611e-10,4.15714712653781e-10,5.62743185383852e-10
2023-01-02,6,2.81960538250914e-10,2.13131134962907e-09,3.98347577146296e-10,3.62031266076812e-10,6.37511210488384e-10
2023-01-02,7,2.59238325250877e-10,2.2940827015816e-09,4.23718948816543e-10,3.26805749129022e-10,6.08149863801088e-10
2023-01-02,8,2.39677111490977e-10,2.47117259988272e-09,4.51788717548141e-10,3.04824665509074e-10,5.25291421471508e-10
