"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-01-01,0,3.998020317586e-11,2.14499418227376e-09,7.31561533573455e-10,4.70649574868531e-10,1.39624078965284e-09
2023-01-01,1,4.08012859609563e-11,2.71168909549147e-09,9.44700206950699e-10,4.96680974126917e-10,1.47068524025684e-09
2023-01-01,2,4.15594954283893e-11,3.188855846048e-09,1.12868392410093e-09,5.29865040732602e-10,1.53633028521227e-09
2023-01-01,3,4.25207959120488e-11,3.58040574965912e-09,1.28191213200068e-09,5.8354393539517e-10,1.59371882357817e-09
2023-01-01,4,4.35111877084005e-11,3.93023125155878e-09,1.41600109415663e-09,6.48423037485912e-10,1.64912816735807e-09
2023-01-01,5,4.43500826341481e-11,4.27144586367945e-09,1.54338020141864e-09,7.11609549064462e-10,1.70021385859087e-09
2023-01-01,6,4.49814525904646e-11,4.60554439030147e-09,1.66682345703606e-09,7.68683505736334e-10,1.74627101667824e-09
2023-01-01,7,4.54515904080299e-11,4.91318763451432e-09,1.78095072023154e-09,8.15747303040126e-10,1.78770542813567e-09
2023-01-01,8,4.58001622738458e-11,5.13891507125663e-09,1.86692750148154e-09,8.5269769023455e-10,1.82620196742533e-09
2023-01-01,9,4.60512079858422e-11,5.22467491492762e-09,1.90367410723979e-09,8.82485251540999e-10,1.86102078192363e-09
2023-01-01,10,4.62162322301118e-11,5.13015496750313e-09,1.87208470947553e-09,9.08237651753296e-10,1.88744508911043e-09
2023-01-01,11,4.62911931009558e-11,4.87679363558868e-09,1.77466885631361e-09,9.26605958628812e-10,1.90347737571983e-09
2023-01-01,12,4.63509786108318e-11,4.54706539088079e-09,1.64147972991913e-09,9.36493660397275e-10,1.91406601679489e-09
2023-01-01,13,4.63961195851237e-11,4.25285451299828e-09,1.51906687229086e-09,9.33533361724415e-10,1.94443772194575e-09
2023-01-01,14,4.51255456612731e-11,3.35110517113435e-09,1.16631759805585e-09,8.9380886025836e-10,1.90331661542587e-09
2023-01-01,15,4.16886872245392e-11,1.55179413763307e-09,4.72635763859586e-10,6.63550825397152e-10,1.30064647940742e-09
2023-01-01,16,3.85253356993687e-11,1.13601605900016e-09,3.33462729651401e-10,5.17535958532989e-10,1.07779196678592e-09
2023-01-01,17,3.61750178423659e-11,1.02213482122693e-09,3.00597963187599e-10,4.40789765798755e-10,1.00337582686905e-09
2023-01-01,18,3.34701849569186e-11,9.90226012298479e-10,3.03153335767803e-10,2.72602634909802e-10,9.42383282520609e-10
2023-01-01,19,3.26651206083994e-11,1.02580888228232e-09,3.11746878312036e-10,2.95836716235343e-10,9.2646745830649e-10
2023-01-01,20,3.24687741970475e-11,1.05568531694189e-09,3.210879895299e-10,2.97613683697406e-10,8.97134588839776e-10
2023-01-01,21,3.39105583890831e-11,1.14417253449517e-09,3.31477734150099e-10,4.71188477124684e-10,9.69216817914287e-10
2023-01-01,22,3.47265272093722e-11,1.17849952019355e-09,3.51274731524853e-10,4.39352138004168e-10,1.00215724607722e-09
2023-01-01,23,3.5706219231324e-11,1.39189371139992e-09,4.32014313211937e-10,4.56874565957222e-10,1.05376252168554e-09
2023-01-02,0,3.65490623877029e-11,1.88762028230371e-09,6.18180950873182e-10,4.7667375602245e-10,1.11885367637399e-09
2023-01-02,1,3.72843249329957e-11,2.40187914002377e-09,8.15880807358838e-10,4.8919562845029e-10,1.17040621638864e-09
2023-01-02,2,3.78589729010947e-11,2.86823720330176e-09,9.99977878279878e-10,4.96393370852388e-10,1.21400900443547e-09
2023-01-02,3,3.82758304218189e-11,3.2875693278811e-09,1.16906906377778e-09,5.03900254855694e-10,1.25575694287505e-09
2023-01-02,4,3.85444801076495e-11,3.64200203328835e-09,1.31344179976622e-09,5.14621956160255e-10,1.29530075554385e-09
2023-01-02,5,3.86849892397567e-11,3.87242682364786e-09,1.40662881342735e-09,5.3024951096603e-10,1.32869537594615e-09
2023-01-02,6,3.87452465944182e-11,3.99533428563359e-09,1.4509724532985e-09,5.50034850999026e-10,1.35419975233475e-09
2023-01-02,7,3.87752781272344e-11,4.08814848640304e-09,1.47752143853097e-09,5.75200720387414e-10,1.36759792379593e-09
2023-01-02,8,3.88056739519804e-11,4.18019707737471e-09,1.50224088724116e-09,6.05232364225827e-10,1.37730060689734e-09
2023-01-02,9,3.87385228062254e-11,4.1460177513386e-09,1.48468137783908e-09,6.31690477703728e-10,1.48682977041403e-09
2023-01-02,10,3.87416071445656e-11,4.10466416411737e-09,1.46913770038282e-09,6.58712473455836e-10,1.67506819526153e-09
2023-01-02,11,3.92821990213843e-11,4.12777856340085e-09,1.47908374437122e-09,7.16858739036041e-10,1.84802384506355e-09
2023-01-02,12,3.95169869049639e-11,4.17385059847675e-09,1.50023893308315e-09,7.63634822043002e-10,2.35325314790202e-09
2023-01-02,13,3.90977736297593e-11,4.08580902444555e-09,1.47232248615126e-09,7.75012942710873e-10,2.94171109693764e-09
2023-01-02,14,3.82722985248218e-11,2.97100699597763e-09,1.04676545209514e-09,7.40091321560499e-10,2.51859089139828e-09
2023-01-02,15,3.89494859975859e-11,1.44887313258124e-09,4.56058829589878e-10,7.12990000373281e-10,1.56431945175228e-09
2023-01-02,16,3.96891408627198e-11,1.10692577326432e-09,3.30253768776601e-10,6.22159546104228e-10,1.23145005304082e-09
2023-01-02,17,3.93406522636308e-11,9.93116144876183e-10,2.92700613746533e-10,5.48938616784511e-10,1.11048381601364e-09
2023-01-02,18,3.83248328905683e-11,9.2126239970014e-10,2.75826361750831e-10,3.86647991401645e-10,1.04998287842051e-09
2023-01-02,19,3.84306995948602e-11,9.15148679059286e-10,2.70931499457561e-10,3.95790455964828e-10,1.13969855775053e-09
2023-01-02,20,3.87113466282507e-11,9.12655284679431e-10,2.70429179050069e-10,3.8170080984834e-10,1.13567943937909e-09
2023-01-02,21,3.97814281516418e-11,9.35747035413215e-10,2.71776601223905e-10,5.18040887964588e-10,1.16450316056671e-09
2023-01-02,22,4.12346580491718e-11,9.78456982103637e-10,2.85393042531723e-10,5.16905573899606e-10,1.26635213426596e-09
2023-01-02,23,4.27895947840984e-11,1.172243857539e-09,3.49568263224853e-10,5.78904812975622e-10,1.36757138946564e-09
2023-01-03,0,4.3769519258996e-11,1.64249658318738e-09,5.1868026540447e-10,6.28959551107755e-10,1.45568090914594e-09
2023-01-03,1,4.45790002134849e-11,2.16466577995789e-09,7.10914105361837e-10,6.60352439396661e-10,1.52721768564845e-09
2023-01-03,2,4.53265272537529e-11,2.66891531097713e-09,8.96647256443117e-10,6.85679124590166e-10,1.58887747403469e-09
