"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-01-01,0,2.05023775734503e-09,2.25948237897455e-09,5.49068013278031e-10,1.28095611895418e-09,5.64524116342113e-09
2023-01-01,1,1.95945748515669e-09,2.53032439445633e-09,7.10511427470806e-10,1.26202481798288e-09,5.34348609804169e-09
2023-01-01,2,1.89602111788645e-09,2.8340600977117e-09,8.52202197698659e-10,1.19649334884286e-09,4.91336482610905e-09
2023-01-01,3,1.85215209835832e-09,3.16384141108017e-09,9.6091412604693e-10,1.11611841990822e-09,4.77081485428243e-09
2023-01-01,4,1.82689974259631e-09,3.52631124300729e-09,1.05240560710484e-09,1.04824016133875e-09,4.8794634999183e-09
2023-01-01,5,1.79666115318611e-09,3.87778298360786e-09,1.12878606461919e-09,1.00295949323481e-09,4.84639217646077e-09
2023-01-01,6,1.76196879309032e-09,4.17843315503319e-09,1.19547860499836e-09,9.69352820234803e-10,4.80888173726157e-09
2023-01-01,7,1.73672065617581e-09,4.41170966425375e-09,1.24691601488536e-09,9.40804323334987e-10,4.90178830858667e-09
2023-01-01,8,1.72512282237136e-09,4.55205872995634e-09,1.26413945977788e-09,9.11099640177326e-10,4.80228168342478e-09
2023-01-01,9,1.71055514197604e-09,4.6230792527524e-09,1.24285381986056e-09,8.79292305633328e-10,4.96984853270988e-09
2023-01-01,10,1.66857971883871e-09,4.70725058931976e-09,1.16095377755698e-09,8.93083385022919e-10,5.05257657934521e-09
2023-01-01,11,1.61745095095256e-09,4.72243621985058e-09,6.95029866992769e-10,1.26781540821241e-09,4.01829591822889e-09
2023-01-01,12,1.45537448759114e-09,4.36605951392721e-09,5.02235475430268e-10,1.38524225423708e-09,3.33140248720554e-09
2023-01-01,13,1.35724120831071e-09,3.8212393249637e-09,4.45962877737571e-10,1.2825303041808e-09,3.17491610779541e-09
2023-01-01,14,1.31779265277743e-09,3.48735174071635e-09,4.25007945503708e-10,1.23435361931712e-09,3.2100369029564e-09
2023-01-01,15,1.21462384594651e-09,3.06398328930868e-09,3.97807981000753e-10,1.18515397495855e-09,3.13276227181802e-09
2023-01-01,16,1.15012599444242e-09,2.88769208545148e-09,3.951252935952e-10,1.13409137636467e-09,3.1727336313736e-09
2023-01-01,17,1.11029407889873e-09,2.71712141675096e-09,3.81226855639127e-10,1.07956865669223e-09,3.08768677292903e-09
2023-01-01,18,1.32802091545869e-09,2.76091505213572e-09,3.73226810568283e-10,1.03331421197339e-09,2.8496416337731e-09
2023-01-01,19,1.3124892284111e-09,2.63846278159008e-09,3.5891398186827e-10,9.64628377175814e-10,2.67365640738149e-09
2023-01-01,20,1.34822963904213e-09,2.54503063068512e-09,3.45554307390472e-10,9.17492137819664e-10,2.47144171794389e-09
2023-01-01,21,1.90707472036422e-09,3.11659054119673e-09,3.70041774999663e-10,1.05481134937691e-09,2.21889662199715e-09
2023-01-01,22,1.84846038475683e-09,2.97111668601246e-09,3.64360291937871e-10,9.79772041276306e-10,2.08390704692363e-09
2023-01-01,23,1.82037451779138e-09,3.01779801148427e-09,4.11975925596053e-10,1.00735175756483e-09,1.97586347283618e-09
2023-01-02,0,1.7762823434353e-09,3.29389782116607e-09,5.56492796288666e-10,1.08135878029714e-09,1.86703164040125e-09
2023-01-02,1,1.72470604464792e-09,3.59436280739089e-09,7.15874193257804e-10,1.14394183015065e-09,1.81505777074875e-09
2023-01-02,2,1.69054847898309e-09,3.91317156456239e-09,8.72797112361212e-10,1.1607472760744e-09,1.8479628938195e-09
2023-01-02,3,1.66333380402506e-09,4.22657153720252e-09,1.01295660748235e-09,1.15276610479498e-09,1.91342230948521e-09
2023-01-02,4,1.63027702448915e-09,4.52899673319962e-09,1.13358467057623e-09,1.1346024120229e-09,1.99128846745111e-09
2023-01-02,5,1.59195534532586e-09,4.70117988982111e-09,1.20890897292725e-09,1.10459774660399e-09,2.06777972522332e-09
2023-01-02,6,1.55587176475791e-09,4.77777772900367e-09,1.24600452178214e-09,1.06074382610899e-09,2.11152961782091e-09
2023-01-02,7,1.51731749387096e-09,4.84744289153127e-09,1.28312793723495e-09,9.92499193941399e-10,2.11789497051029e-09
2023-01-02,8,1.46170142656388e-09,4.94129626105178e-09,1.33609201480311e-09,9.11362929567616e-10,2.09014872076807e-09
2023-01-02,9,1.38743294630927e-09,5.01963626220459e-09,1.39412303923336e-09,8.23613344191898e-10,2.03924388486598e-09
2023-01-02,10,1.29353272537713e-09,5.01479524572801e-09,1.41218770011164e-09,7.35363603343586e-10,2.05108374728979e-09
2023-01-02,11,1.22608656560885e-09,3.34655414491181e-09,8.33678903688906e-10,7.5417455613902e-10,2.02631778023488e-09
2023-01-02,12,9.81647541031805e-10,2.1070343247942e-09,4.71102046262217e-10,6.84712786469532e-10,1.66526459288718e-09
2023-01-02,13,8.73963679204337e-10,1.84154691496019e-09,4.010415888267e-10,6.78717193558498e-10,1.63623936622059e-09
2023-01-02,14,8.68005001208871e-10,1.83369064377104e-09,3.86750437231242e-10,7.40413064193035e-10,1.76099890225601e-09
2023-01-02,15,1.03223052327905e-09,2.04189221086892e-09,3.80729975324456e-10,9.75388103618968e-10,1.77499892561883e-09
2023-01-02,16,9.39666011667839e-10,2.17266049595821e-09,3.92805760141002e-10,9.92142368261284e-10,1.86888615694158e-09
2023-01-02,17,8.42270642120724e-10,2.24734497678014e-09,3.92814863969804e-10,1.07305575536287e-09,1.87647697380555e-09
2023-01-02,18,7.55905227300957e-10,2.23670459931213e-09,3.37854660914516e-10,1.66869262852032e-09,1.6152753579135e-09
2023-01-02,19,6.85352663509775e-10,2.29617680425065e-09,3.40263844877953e-10,1.55886470398769e-09,1.58634161362414e-09
2023-01-02,20,6.30009433510992e-10,2.23914309316342e-09,3.3028732526752e-10,1.59900725993367e-09,1.51994739017169e-09
2023-01-02,21,5.89788495819477e-10,2.17022932957889e-09,3.21950077708522e-10,1.66416469493669e-09,1.44136158564123e-09
2023-01-02,22,5.61118485009615e-10,2.14628248507154e-09,3.27291277413266e-10,1.75207459651716e-09,1.37919520248886e-09
2023-01-02,23,5.32278443543532e-10,2.31975172404475e-09,3.97034238819316e-10,1.94598959168957e-09,1.31378219414557e-09
2023-01-03,0,4.98480035027171e-10,2.69592947965691e-09,5.53196488617402e-10,2.20950946427934e-09,1.2495734447171e-09
2023-01-03,1,4.80421258330921e-10,2.87692314415722e-09,6.40449360211903e-10,2.36751218629649e-09,1.2745999811159e-09
2023-01-03,2,4.84139284218088e-10,3.18019566236671e-09,7.75232711358598e-10,2.35126318415269e-09,1.3136974841288e-09
2023-01-03,3,4.91750251629952e-10,3.50648599045655e-09,9.2024798892254e-10,2.29291829967337e-09,1.33487754183648e-09
2023-01-03,4,5.05231412262219e-10,3.78305564652237e-09,1.04569819470157e-09,2.20835505437833e-09,1.35329658590422e-09
2023-01-03,5,5.30577692892109e-10,4.00147248669214e-09,1.14367626480316e-09,2.09794781547146e-09,1.37081179740761e-09
2023-01-03,6,5.56878876345479e-10,4.17152445919555e-09,1.22441856653666e-09,1.99473304540732e-09,1.38631695012492e-09
2023-01-03,7,5.83113335395069e-10,4.33460689563958e-09,1.30843469392516e-09,1.87596582712501e-09,1.40904865553182e-09
2023-01-03,8,6.06074745945762e-10,4.40885639108046e-09,1.35276712054377e-09,1.74043468526008e-09,1.44200973384301e-09
2023-01-03,9,6.20973328313568e-10,4.34314495478816e-09,1.33086019982187e-09,1.60822521966253e-09,1.4744977461234e-09
2023-01-03,10,6.17195516916524e-10,4.08855349576243e-09,1.23117516181992e-09,1.46565237724161e-09,1.52438495160112e-09
2023-01-03,11,5.26565513414567e-10,2.75541567340554e-09,7.53662077190853e-10,1.26509835940425e-09,1.40968114958895e-09
2023-01-03,12,4.48722142776248e-10,1.57813184742395e-09,3.88041848653486e-10,9.17044107318077e-10,1.07015596384485e-09
2023-01-03,13,3.96665672530716e-10,1.19706500267824e-09,2.99823776916952e-10,8.00880473050825e-10,9.58449430932262e-10
2023-01-03,14,3.77173570154099e-10,1.10500208982955e-09,2.76961426015632e-10,8.04213529104203e-10,9.94018090061388e-10
2023-01-03,15,6.71029898313691e-10,1.19705889645161e-09,2.71069805490853e-10,9.72746772021083e-10,1.07698705509307e-09
2023-01-03,16,6.69769351091531e-10,1.30731692138397e-09,2.86818430117464e-10,9.60387880333258e-10,1.14111198268319e-09
2023-01-03,17,6.86906143076982e-10,1.53897594667995e-09,3.1156471846927e-10,9.98709781541152e-10,1.19014953448016e-09
2023-01-03,18,1.23402288387808e-09,1.86423898540511e-09,2.92363189213773e-10,1.44558964798591e-09,1.14347431523498e-09
2023-01-03,19,1.25279908669285e-09,1.98034255660673e-09,3.05425240654245e-10,1.28346988592654e-09,1.15395115685146e-09
2023-01-03,20,1.27183386045004e-09,2.09587081023699e-09,3.19172632767817e-10,1.26989596616056e-09,1.14634823855653e-09
2023-01-03,21,1.27873156507974e-09,2.13995354769736e-09,3.27581239911723e-10,1.28645949448725e-09,1.11853271089757e-09
2023-01-03,22,1.2857271913802e-09,2.14988982172315e-09,3.36109556853259e-10,1.37173294945114e-09,1.08131359422003e-09
2023-01-03,23,1.28754651385066e-09,2.20888818347476e-09,4.02508470997986e-10,1.63449354051437e-09,1.05744080158843e-09
2023-01-04,0,1.31897481825405e-09,2.56350785043935e-09,5.83158077382961e-10,2.01691152668104e-09,1.05450748133507e-09
2023-01-04,1,1.4649078616813e-09,2.99056157615496e-09,7.6193007458869e-10,2.20826712471478e-09,1.06948672140561e-09
2023-01-04,2,1.76446224298132e-09,3.29518123898254e-09,8.87782680702998e-10,2.18092321979668e-09,1.0668579353279e-09
2023-01-04,3,2.22401985716658e-09,3.5050138347259e-09,9.70510227737975e-10,2.08908024212917e-09,1.04511443943522e-09
2023-01-04,4,2.82506618098921e-09,3.6048137808109e-09,1.02197084128619e-09,1.98808924878335e-09,1.03302510989778e-09
2023-01-04,5,3.37636008040931e-09,3.57843199516594e-09,1.03902442205595e-09,1.86864723694669e-09,1.0413712114854e-09
2023-01-04,6,3.77496389702969e-09,3.43017458881434e-09,1.00862806995394e-09,1.72110470320064e-09,1.05931352578637e-09
2023-01-04,7,4.01970634555937e-09,3.15858317279094e-09,9.19537390675629e-10,1.57025714653258e-09,1.10960141075367e-09
2023-01-04,8,4.04678512921919e-09,2.88665913394937e-09,8.19462109280522e-10,1.45666601003569e-09,1.19013476851393e-09
2023-01-04,9,3.96418853298997e-09,2.73668665506932e-09,7.77584385769359e-10,1.3600226500543e-09,1.25135068973492e-09
2023-01-04,10,3.85726917073725e-09,2.69673572361739e-09,7.84069364989648e-10,1.25456034449911e-09,1.31384425561265e-09
2023-01-04,11,3.46571038534194e-09,2.43151920820139e-09,6.11736328259838e-10,1.2654657322031e-09,1.76358794234943e-09
2023-01-04,12,3.00839575473333e-09,2.28088925524617e-09,4.61137988905236e-10,1.18628895595663e-09,1.94809124387518e-09
2023-01-04,13,2.79059619856525e-09,2.19933782297232e-09,3.89828308522411e-10,1.07974862384452e-09,2.04795713720785e-09
2023-01-04,14,2.66473865195849e-09,2.28326380025123e-09,3.9140038432528e-10,1.15899012609333e-09,2.3055566344965e-09
2023-01-04,15,2.44810705041232e-09,2.1880564027299e-09,3.71748631877722e-10,9.13763176235705e-10,2.19162954451235e-09
2023-01-04,16,2.32505792396864e-09,2.53997445298637e-09,4.16264661629029e-10,1.1617615758297e-09,2.47642550910143e-09
2023-01-04,17,2.2151120937508e-09,2.99937252812299e-09,4.64479898987236e-10,1.42352762910747e-09,2.69541189368283e-09
2023-01-04,18,2.12515072206543e-09,2.79146461501512e-09,4.16080059295609e-10,1.05742714584522e-09,2.28036700633538e-09
2023-01-04,19,2.0309940396146e-09,3.19827497818892e-09,4.57471255321806e-10,1.35482625118755e-09,2.40898390124755e-09
2023-01-04,20,1.93700033790378e-09,3.49714590619499e-09,4.87877960253513e-10,1.56035162568458e-09,2.48593434726274e-09
2023-01-04,21,1.84467785491194e-09,3.72828212746867e-09,5.13000086854731e-10,1.75563119597655e-09,2.50044585037301e-09
2023-01-04,22,1.75647141276158e-09,3.97101018734247e-09,5.49857104292784e-10,2.04127137415355e-09,2.45850828584082e-09
2023-01-04,23,1.67841851528294e-09,4.24332347037648e-09,6.29526208939524e-10,2.49576448396738e-09,2.30917662769059e-09
2023-01-05,0,1.64993796403223e-09,4.53115056586739e-09,7.80338127448488e-10,2.87295431888879e-09,2.07937977947381e-09
2023-01-05,1,1.70368641416729e-09,4.70310101974292e-09,9.06014374635333e-10,2.91554735909472e-09,1.86685200631587e-09
2023-01-05,2,1.84895299071286e-09,4.63999638711243e-09,9.68333857542802e-10,2.78257483721234e-09,1.66325786477017e-09
2023-01-05,3,1.98476057811092e-09,4.56782167645997e-09,1.04431618908052e-09,2.70599120888448e-09,1.52492440896879e-09
2023-01-05,4,2.06169592509298e-09,4.52826443009258e-09,1.12042086719555e-09,2.66006350280179e-09,1.45107370563835e-09
2023-01-05,5,2.12992801174039e-09,4.51747883545295e-09,1.1839614844078e-09,2.55950260985571e-09,1.40372569124025e-09
2023-01-05,6,2.18944595786752e-09,4.55888837791463e-09,1.24110866028815e-09,2.43783304654244e-09,1.3679845034531e-09
2023-01-05,7,2.23937601795399e-09,4.63218663426801e-09,1.28970534252204e-09,2.32148855694447e-09,1.3414700461567e-09
2023-01-05,8,2.27636665073305e-09,4.72347583269084e-09,1.33888455877695e-09,2.22231921753746e-09,1.32373845218581e-09
2023-01-05,9,2.29748353675063e-09,4.83190953914914e-09,1.39673683730024e-09,2.14532569486892e-09,1.30956190336207e-09
2023-01-05,10,2.29103003235309e-09,4.7906056899194e-09,1.38592892717782e-09,2.03269334697609e-09,1.33041844208037e-09
2023-01-05,11,2.1083055301574e-09,3.40222228167875e-09,8.08590305823031e-10,2.08660377865044e-09,1.80695225449057e-09
2023-01-05,12,2.00700744912297e-09,2.82587064859285e-09,5.84112536117232e-10,2.0865704719597e-09,2.26271046344095e-09
2023-01-05,13,1.96489047255e-09,2.64901145463625e-09,5.32559274457611e-10,2.08431116810459e-09,2.64315858089503e-09
