"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-01-01,0,3.32152472193314e-10,2.0965342795165e-09,6.8394084840051e-10,1.37012790002444e-09,3.55601015300522e-09
2023-01-01,1,3.16698584024167e-10,2.04345607102141e-09,6.96607216355005e-10,1.12658282702682e-09,4.33558033918757e-09
2023-01-01,2,3.03120195610518e-10,2.1344055411987e-09,7.3927669541618e-10,9.66015156755873e-10,3.44507511407244e-09
2023-01-01,3,2.92605023544112e-10,2.3107009639034e-09,8.05553068694564e-10,8.60281679226915e-10,5.26374943632391e-09
2023-01-01,4,2.84495593749767e-10,2.52031306935407e-09,8.81382300477185e-10,7.81563536111918e-10,6.22612894574104e-09
2023-01-01,5,2.76954820188635e-10,2.71618016967068e-09,9.54121337493063e-10,7.0143285624269e-10,5.34968247478673e-09
2023-01-01,6,2.67905669870672e-10,2.92002111379475e-09,1.03677832985483e-09,6.14624018346888e-10,6.38297859012482e-09
2023-01-01,7,2.58091797933346e-10,3.1886575602158e-09,1.15300247127692e-09,5.42461409125394e-10,6.64039045972231e-09
2023-01-01,8,2.47962927968359e-10,3.52228002320487e-09,1.30190247471518e-09,4.93246887778298e-10,5.39698730150917e-09
2023-01-01,9,2.49802484253436e-10,3.17989212739178e-09,1.15867015981763e-09,4.83086071145777e-10,5.86978288197315e-09
2023-01-01,10,2.7621632758823e-10,2.10902473263275e-09,7.11859127200398e-10,4.86353624040703e-10,4.30319069266716e-09
2023-01-01,11,2.73852829302257e-10,1.79953807410982e-09,5.95509586087672e-10,4.31351565577387e-10,3.45947404056801e-09
2023-01-01,12,2.94764601616038e-10,1.44118950107242e-09,4.23668489180073e-10,6.75368538871624e-10,2.13737538778958e-09
2023-01-01,13,2.88076784649149e-10,1.40288047845161e-09,4.24781709806865e-10,6.1451410626745e-10,2.14578199653204e-09
2023-01-01,14,2.80142797848271e-10,1.40069089660244e-09,4.30736113443686e-10,6.53349208068477e-10,2.1961761298428e-09
2023-01-01,15,2.86593249132494e-10,1.44050138484175e-09,4.35202568427329e-10,8.26780088836188e-10,2.17545381708817e-09
2023-01-01,16,2.89985924162295e-10,1.51492740574355e-09,4.57441973189532e-10,9.6561558748931e-10,2.81659051637462e-09
2023-01-01,17,2.91572960220421e-10,1.58400037530981e-09,4.74740247113914e-10,1.17581600012073e-09,3.11279957365684e-09
