"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-01-01,0,6.32590064586578e-10,2.92575852911189e-09,3.80727140542351e-10,1.71354216373879e-09,1.66123410665596e-09
2023-01-01,1,6.5004125338248e-10,3.26913042166324e-09,4.33174081429814e-10,1.78939597004785e-09,2.12697441766534e-09
2023-01-01,2,6.05627266679664e-10,3.4184708475396e-09,4.68590167536365e-10,1.64161650668525e-09,2.05333704347225e-09
2023-01-01,3,5.2382828410742e-10,3.42555195407407e-09,4.94420323828232e-10,1.38352090732225e-09,1.85407049197069e-09
2023-01-01,4,4.48929249650216e-10,3.39992250672494e-09,5.21978481840763e-10,1.14596988083811e-09,1.63668968146142e-09
2023-01-01,5,3.76316820031321e-10,3.34531497750597e-09,5.55315515522303e-10,9.02853430201616e-10,1.25705272590888e-09
2023-01-01,6,3.74687448195842e-10,3.49625558452443e-09,6.12458316592672e-10,8.78903617365558e-10,2.06429355195919e-09
2023-01-01,7,3.73468822057257e-10,3.56849119784869e-09,6.57594927675528e-10,8.39064324530819e-10,2.45133142517256e-09
2023-01-01,8,3.93978131043617e-10,3.74036598763984e-09,7.03606978046502e-10,8.92838168036012e-10,2.68990543814823e-09
2023-01-01,9,4.24502828803288e-10,3.97585352813166e-09,7.48500697783216e-10,1.00442443809945e-09,3.64105931125944e-09
2023-01-01,10,4.26059210617081e-10,4.14051342929704e-09,7.77778498832656e-10,1.04763296085095e-09,4.06931826560028e-09
2023-01-01,11,3.73969492092202e-10,4.15107409969077e-09,7.85304045587427e-10,9.47897060323e-10,3.45271828467407e-09
2023-01-01,12,3.19597931358107e-10,3.38338420041023e-09,6.10805015236176e-10,8.22206177545238e-10,2.68579931385349e-09
2023-01-01,13,2.8075308274218e-10,2.2674524810919e-09,3.7583021159711e-10,7.39025544780518e-10,1.93859151225318e-09
2023-01-01,14,2.7660029126885e-10,2.2360606149888e-09,3.14610484013341e-10,9.38385243370431e-10,1.5378827861786e-09
2023-01-01,15,4.11918080699646e-10,2.25152977251925e-09,2.88166817163471e-10,1.9370667429016e-09,1.54265280519379e-09
2023-01-01,16,4.48197399617709e-10,2.41042239065761e-09,2.88604336406311e-10,2.06911658743062e-09,1.65195413191809e-09
2023-01-01,17,4.87351014091027e-10,2.62955754816007e-09,2.95306186378101e-10,2.28068328063163e-09,1.67711446585807e-09
2023-01-01,18,7.72433565542205e-10,2.82967211684762e-09,3.14889512549729e-10,2.88279521131266e-09,1.99727253296202e-09
2023-01-01,19,8.74847654389055e-10,3.14756372701841e-09,3.37170782653963e-10,3.14703661199144e-09,2.24246811506186e-09
2023-01-01,20,1.07756057535538e-09,3.91413155760665e-09,3.91107729278491e-10,3.75302489931915e-09,2.60855755323131e-09
2023-01-01,21,1.23422847457663e-09,4.1137550499306e-09,4.22302195749141e-10,4.29485095653891e-09,3.1972865289576e-09
2023-01-01,22,1.22889388606568e-09,3.74190147378779e-09,4.23211871729517e-10,3.67198442821886e-09,3.0722858544328e-09
2023-01-01,23,9.02927142857604e-10,2.68117495740017e-09,3.828378098477e-10,1.99521174896414e-09,1.4183718235832e-09
2023-01-02,0,6.54474325293341e-10,2.30596971172951e-09,3.81932839358962e-10,1.29904339780766e-09,8.84296923420137e-10
2023-01-02,1,5.31883701660038e-10,2.26085844446874e-09,3.99098386947455e-10,1.03476983318723e-09,6.86889423947646e-10
2023-01-02,2,4.50602642275855e-10,2.18906367490355e-09,4.03856314546997e-10,8.16252377890342e-10,5.13754859048912e-10
2023-01-02,3,4.17891011901474e-10,2.14192368941206e-09,3.99756806731535e-10,6.57000852241066e-10,6.46418101473778e-10
2023-01-02,4,3.75299082555538e-10,2.14791559863779e-09,4.03160834469389e-10,5.38268446389481e-10,6.55852152128171e-10
2023-01-02,5,3.40211698507506e-10,2.21261840316692e-09,4.15654428627746e-10,4.56004493334331e-10,6.17267905138243e-10
2023-01-02,6,3.09278870756443e-10,2.33779442831115e-09,4.36937177465766e-10,3.97119983029442e-10,6.99285027778128e-10
2023-01-02,7,2.84357138150785e-10,2.51633926705557e-09,4.64767565958642e-10,3.5848215879325e-10,6.67079907507246e-10
2023-01-02,8,2.62902200010018e-10,2.71058905030631e-09,4.95556944682092e-10,3.34371113140815e-10,5.76199386489486e-10
2023-01-02,9,2.49254982105651e-10,2.87985051962165e-09,5.23653428778637e-10,3.25838940938984e-10,6.41650563655257e-10
2023-01-02,10,2.44207445891241e-10,3.03639108062588e-09,5.44777647147089e-10,3.45036291977464e-10,6.45884418431358e-10
2023-01-02,11,2.5510161279392e-10,3.23711914847376e-09,5.67202057376185e-10,4.16880945020535e-10,7.30014882474161e-10
2023-01-02,12,2.3575977215124e-10,2.62579786690018e-09,4.51441327164537e-10,4.55973279750096e-10,8.01869708166088e-10
2023-01-02,13,2.07294596283247e-10,1.69634687687773e-09,2.89001771746158e-10,5.3275261234346e-10,8.9427132951396e-10
2023-01-02,14,1.99761126707548e-10,1.38476004670146e-09,2.2356716425923e-10,6.4609572141168e-10,7.73829090161462e-10
2023-01-02,15,2.84338043358306e-10,1.31413692270764e-09,1.9505768204933e-10,9.82974698626781e-10,8.24984669825241e-10
2023-01-02,16,2.97114407160409e-10,1.29292584207267e-09,1.81842624833763e-10,1.04132865573698e-09,8.79847284276664e-10
2023-01-02,17,3.41939145726521e-10,1.42602394741795e-09,1.83947304965653e-10,1.24944312301966e-09,1.00690798602622e-09
2023-01-02,18,1.48675690433021e-09,1.46319153299622e-09,1.94376209226822e-10,2.83244402368363e-09,1.66846515965192e-09
2023-01-02,19,1.755442190156e-09,1.75473398420119e-09,2.15761751211829e-10,3.1299882085039e-09,2.21186500246138e-09
2023-01-02,20,1.87566572191523e-09,1.94458351114243e-09,2.34633904035056e-10,3.39697439990551e-09,2.55790110143331e-09
2023-01-02,21,1.96230988229462e-09,2.11722400624958e-09,2.58563085533763e-10,3.57578561183645e-09,3.28855211573394e-09
2023-01-02,22,1.97028196112937e-09,2.26001105145795e-09,2.9960273430457e-10,3.20315950532498e-09,3.17321800368149e-09
2023-01-02,23,1.73835046325069e-09,2.10146936375881e-09,3.18172329181652e-10,2.4146533168139e-09,2.26647689787092e-09
2023-01-03,0,1.41002257905611e-09,1.92367922936462e-09,3.25368904304586e-10,1.76832329606014e-09,1.82736388575164e-09
2023-01-03,1,1.16480585680284e-09,1.81785891895103e-09,3.34725112305866e-10,1.35153738667262e-09,1.41354501779871e-09
2023-01-03,2,9.79668500998825e-10,1.75358260128423e-09,3.45229028185317e-10,1.0498298906635e-09,1.01015906170442e-09
2023-01-03,3,8.44812109645435e-10,1.72734528758453e-09,3.53180945440409e-10,8.49241148107374e-10,1.08153716906791e-09
2023-01-03,4,7.45076723435894e-10,1.76161163130753e-09,3.65018412482152e-10,7.43587544836666e-10,1.11766062323073e-09
2023-01-03,5,6.56674362483527e-10,1.79611326712233e-09,3.79248712349765e-10,6.74552097041032e-10,9.87177559423798e-10
2023-01-03,6,5.82067450878923e-10,1.82515774878583e-09,3.95904491807229e-10,6.20487378654149e-10,1.05542761000017e-09
2023-01-03,7,5.21066762654288e-10,1.82145083878985e-09,4.06719084355533e-10,5.65613870030877e-10,1.06161113125162e-09
2023-01-03,8,4.64737749802588e-10,1.75065436789062e-09,4.03212234732558e-10,4.84506980244709e-10,8.61562522334273e-10
2023-01-03,9,4.21673012642159e-10,1.67885914133421e-09,3.88576168922181e-10,4.25846861327453e-10,1.03187235513981e-09
2023-01-03,10,3.91067450002266e-10,1.62069685184221e-09,3.6921115054427e-10,4.00110735830021e-10,1.05737745024603e-09
2023-01-03,11,3.67013228022659e-10,1.58197342020865e-09,3.52029774525631e-10,3.857296622411e-10,9.30551818706295e-10
2023-01-03,12,3.59775612662652e-10,1.26072163499817e-09,2.65111258290827e-10,5.51652170639868e-10,8.39595972498657e-10
2023-01-03,13,3.41264165337014e-10,8.77795066099368e-10,1.66719711420951e-10,6.35667738634266e-10,6.67068254475191e-10
2023-01-03,14,3.12610582575311e-10,7.57679723649429e-10,1.36812092958825e-10,5.84492243531831e-10,5.30181504493181e-10
2023-01-03,15,1.10785822838655e-09,8.27950786272749e-10,1.22579895906816e-10,1.80762220518488e-09,8.03003774883576e-10
2023-01-03,16,1.07865131106569e-09,8.16177781989055e-10,1.20904186659619e-10,1.57639402708709e-09,8.8084601469903e-10
2023-01-03,17,1.00945551310266e-09,7.93459867959052e-10,1.17211299300863e-10,1.39162006440943e-09,8.10023746455934e-10
2023-01-03,18,9.84144225911043e-10,8.12021635235262e-10,1.17946119884693e-10,1.31404016460264e-09,8.22876337083995e-10
2023-01-03,19,1.01226771805291e-09,8.88332552672786e-10,1.23912928271593e-10,1.35151967368225e-09,9.61676659664993e-10
2023-01-03,20,1.07203032464597e-09,1.00797877713283e-09,1.3377802402496e-10,1.42600281767286e-09,1.06112094328328e-09
2023-01-03,21,1.20628665053763e-09,1.25104020312671e-09,1.5561681466819e-10,1.63428388319032e-09,1.3864204405291e-09
2023-01-03,22,1.2536351098923e-09,1.56354514171996e-09,1.98848999224087e-10,1.68275188092626e-09,1.95772918547017e-09
2023-01-03,23,1.10702235811382e-09,1.6847991194985e-09,2.37567248926912e-10,1.30269070140396e-09,1.50041761729901e-09
2023-01-04,0,9.8210057566852e-10,1.7941207625452e-09,2.7068900174457e-10,1.0222369156666e-09,1.49117630195801e-09
2023-01-04,1,9.01936758352512e-10,1.92671578030153e-09,2.9860388673416e-10,8.87490507462101e-10,1.41911604933627e-09
2023-01-04,2,8.49470864011876e-10,2.06029486743767e-09,3.18329742394433e-10,8.13000488220257e-10,1.18969567194666e-09
2023-01-04,3,8.17940432886691e-10,2.20904072725098e-09,3.39761909389337e-10,7.54960188738578e-10,1.40842532460935e-09
2023-01-04,4,7.77839361172129e-10,2.27634445104305e-09,3.55241108231097e-10,6.80259270679877e-10,1.57802600619841e-09
2023-01-04,5,7.25739470364313e-10,2.24174431405141e-09,3.66370214290664e-10,5.7952586509486e-10,1.38580487054262e-09
2023-01-04,6,6.68554948110144e-10,2.1675383886843e-09,3.74268468362918e-10,4.81800007604959e-10,1.53692377281942e-09
2023-01-04,7,6.11251134235123e-10,2.11501834112855e-09,3.77587368950759e-10,4.036861024902e-10,1.64833834667526e-09
2023-01-04,8,5.58755312038504e-10,2.08464248207391e-09,3.77414355288443e-10,3.36648328259762e-10,1.53838978838791e-09
2023-01-04,9,5.1387652688856e-10,2.07701277845588e-09,3.76658026410336e-10,2.8257476877337e-10,1.77822459556699e-09
2023-01-04,10,4.81551133983595e-10,2.1218029294277e-09,3.81944590375789e-10,2.4947019259126e-10,2.04812899712997e-09
2023-01-04,11,4.56128635187812e-10,2.15538595532781e-09,3.84152287047747e-10,2.27702873029578e-10,2.08806228655257e-09
2023-01-04,12,4.36146426239332e-10,1.6861468053503e-09,2.92477824782606e-10,2.5031184254249e-10,1.66273712398461e-09
2023-01-04,13,4.18451049418594e-10,1.00968221858431e-09,1.6562729561741e-10,3.27587688529404e-10,9.72815604818617e-10
2023-01-04,14,3.85006051684318e-10,7.98641019826183e-10,1.28265540922593e-10,3.31537068293058e-10,6.89514728869018e-10
2023-01-04,15,3.71965467406204e-10,7.43443050285793e-10,1.17130562200644e-10,3.72617907964381e-10,5.88596020691503e-10
2023-01-04,16,3.49939783395167e-10,7.27317093731543e-10,1.12682651316092e-10,3.19549985295297e-10,5.46333276660099e-10
2023-01-04,17,3.50324457567023e-10,7.80391913119067e-10,1.14608295689731e-10,3.19638401968911e-10,5.42990685685582e-10
