"Date","Hour","pm25_merra2","pm25_stations"
2023-01-01,0,13.9053300205242,18.6666666666667
2023-01-01,1,13.8128100363225,19.7
2023-01-01,2,13.5375944606828,20.1111111111111
2023-01-01,3,13.6557522145117,21.2
2023-01-01,4,14.1660398362792,20.3
2023-01-01,5,14.4728799111536,19
2023-01-01,6,14.7203242828064,20.7
2023-01-01,7,15.079043716079,24
2023-01-01,8,15.058432537019,25.5
2023-01-01,9,15.2922971255969,26.8
2023-01-01,10,15.3801846599397,25.9
2023-01-01,11,13.8302946220937,22
2023-01-01,12,12.2915842760466,14.4
2023-01-01,13,11.2743838180877,11.4
2023-01-01,14,10.8802281773096,9.6
2023-01-01,15,10.1709924370195,8.9
2023-01-01,16,9.93144264127275,6.8
2023-01-01,17,9.53562856133147,6.8
2023-01-01,18,9.41543998708359,10.4
2023-01-01,19,8.95237233772515,12
2023-01-01,20,8.55601844311879,12
2023-01-01,21,9.50082943768334,10.7
2023-01-01,22,9.03032898737394,10.6
2023-01-01,23,8.97549520827843,9.6
2023-01-02,0,9.27631782241371,10.2
2023-01-02,1,9.67567577516348,11
2023-01-02,2,10.179319572407,10.6666666666667
2023-01-02,3,10.6877290734443,10.4444444444444
2023-01-02,4,11.1666744368837,11.4444444444444
2023-01-02,5,11.4510768171705,10.8888888888889
2023-01-02,6,11.5450149944619,12
2023-01-02,7,11.5537608395354,10.6666666666667
2023-01-02,8,11.5256582530804,10.3333333333333
2023-01-02,9,11.4299865928364,10.4444444444444
2023-01-02,10,11.2773471734452,10.2222222222222
2023-01-02,11,8.94789404001585,11.3333333333333
2023-01-02,12,6.53523231488205,11.5555555555556
2023-01-02,13,6.04607793216485,12.5555555555556
2023-01-02,14,6.25128674315735,10.7777777777778
2023-01-02,15,6.87192682216148,10.5555555555556
2023-01-02,16,7.06811178758216,9.22222222222222
2023-01-02,17,7.1367653067185,8.22222222222222
2023-01-02,18,7.22112761151628,7.875
2023-01-02,19,7.06282729441384,8.875
2023-01-02,20,6.88928458988192,9.44444444444444
2023-01-02,21,6.72886755459815,9
2023-01-02,22,6.68398581191579,7.77777777777778
2023-01-02,23,7.00229092433489,7.55555555555556
2023-01-03,0,7.67602692901032,8.11111111111111
2023-01-03,1,8.1186438784641,7.66666666666667
2023-01-03,2,8.59795124135467,9.11111111111111
2023-01-03,3,9.04765818733734,9.88888888888889
2023-01-03,4,9.40393317546165,10.4444444444444
2023-01-03,5,9.65936102760238,10.2222222222222
2023-01-03,6,9.85457058135454,15.4444444444444
2023-01-03,7,10.0404060877289,14.1111111111111
2023-01-03,8,10.0917594911334,15.5555555555556
2023-01-03,9,9.9315207145864,13.2222222222222
2023-01-03,10,9.49951833296651,14.7
2023-01-03,11,7.23989701698885,14.1
2023-01-03,12,4.8040449749294,12.9
2023-01-03,13,4.01287660541189,11.9
2023-01-03,14,3.9307204924792,11.6
2023-01-03,15,4.59340724048459,10.1
2023-01-03,16,4.79400461073964,9.4
2023-01-03,17,5.17332460440621,10
2023-01-03,18,6.40917635560998,9
2023-01-03,19,6.40941034750218,11
2023-01-03,20,6.53368828359479,12.5
2023-01-03,21,6.57137786068851,13.9
2023-01-03,22,6.63091296871271,14.4
2023-01-03,23,6.98805077839738,15.3
2023-01-04,0,7.93313127112942,16
2023-01-04,1,8.89685105694545,13.1111111111111
2023-01-04,2,9.59591764786255,14.8888888888889
2023-01-04,3,10.2262821049927,15.2
2023-01-04,4,10.8609679305069,15.5
2023-01-04,5,11.2949724987428,16.9
2023-01-04,6,11.3920614453135,19.3333333333333
2023-01-04,7,11.1944501852378,16
2023-01-04,8,10.8467200850814,16.1111111111111
2023-01-04,9,10.5598384610428,17.6666666666667
2023-01-04,10,10.3999569017474,15.2
2023-01-04,11,10.2004207306464,15.9
2023-01-04,12,9.61650351184393,13.5
2023-01-04,13,9.27667789238717,15.5
2023-01-04,14,9.66991340487659,16.1
2023-01-04,15,8.93647775981761,17.8
2023-01-04,16,9.84962603865549,17
2023-01-04,17,10.8102969348035,15.6
2023-01-04,18,9.52699216763422,15.3
2023-01-04,19,10.3553613682734,16.5
2023-01-04,20,10.9020235985909,16.5
2023-01-04,21,11.2812010368993,18.2
2023-01-04,22,11.7005305958417,17.3
2023-01-04,23,12.2235327783273,15.3
2023-01-05,0,12.694772856933,14.6
2023-01-05,1,12.7963881444733,14.3
2023-01-05,2,12.5278332365481,12.7
2023-01-05,3,12.4005735105531,12.4
2023-01-05,4,12.3665396602553,12.6
2023-01-05,5,12.3218340149576,14.5
2023-01-05,6,12.3090735887953,17
2023-01-05,7,12.3280808479528,18.9
2023-01-05,8,12.3819790004403,20.8
2023-01-05,9,12.4728871082799,22.2
2023-01-05,10,12.3303797217699,21.1
2023-01-05,11,10.8913628593367,19.2
2023-01-05,12,10.6161424157978,16.4
2023-01-05,13,10.8666975714918,15.4
2023-01-05,14,11.1690734311356,15.9
2023-01-05,15,9.88462864034704,13.9
2023-01-05,16,10.2183800829123,15.1
2023-01-05,17,10.3646938423179,15
2023-01-05,18,16.0890027288958,18
2023-01-05,19,15.133531476428,14.1
2023-01-05,20,14.0196520751232,12.7
2023-01-05,21,13.1094804940883,12
2023-01-05,22,12.3807087313929,12.8888888888889
2023-01-05,23,11.7874281544957,10.9
2023-01-06,0,11.5127255154042,12.8
2023-01-06,1,11.2729676220818,10.5
2023-01-06,2,11.0958783091153,11.3
2023-01-06,3,11.0092296941083,11.2
2023-01-06,4,10.9820373643823,12.2
2023-01-06,5,11.0648873155514,14.1
2023-01-06,6,11.3385209957048,13.5
2023-01-06,7,11.6897117629902,18.4
2023-01-06,8,12.157485175703,16
2023-01-06,9,12.9500368083488,16.4
2023-01-06,10,13.2389514469704,14
2023-01-06,11,11.4473405079003,13
2023-01-06,12,10.301917703686,11.7
2023-01-06,13,9.95058585993567,11.1
2023-01-06,14,9.94038355955863,13.2
2023-01-06,15,7.56737518343552,12.2
2023-01-06,16,8.18511206680402,13.5
2023-01-06,17,8.7336457875572,11.5
2023-01-06,18,9.67588922342804,11.4
2023-01-06,19,10.056963205396,11.6
2023-01-06,20,10.2557689669929,11.6
2023-01-06,21,10.1866963595493,10.1
2023-01-06,22,11.0655991736114,10.9
2023-01-06,23,11.4084017256233,12.2
2023-01-07,0,12.1906581139351,11.2
2023-01-07,1,13.1659384251037,10
2023-01-07,2,14.1928410424199,11.8
2023-01-07,3,15.0033787871218,10.6
2023-01-07,4,15.5965096544547,12.1
2023-01-07,5,15.8760193750493,12.4
2023-01-07,6,16.2322778977664,13.4
2023-01-07,7,16.948939176518,14.2
2023-01-07,8,17.6403817334865,12.9
2023-01-07,9,18.3387252735134,13.6
2023-01-07,10,18.4928489634037,14
2023-01-07,11,15.4602367802266,15.6
2023-01-07,12,13.6917083031283,14.6
2023-01-07,13,12.6955350760547,14
2023-01-07,14,11.8498979237264,12.9
2023-01-07,15,5.95372980800825,11.9
2023-01-07,16,6.00424959725895,10.8
2023-01-07,17,5.98370598243569,11.1
2023-01-07,18,10.1276771801452,9.8
2023-01-07,19,9.90480038660966,8.9
2023-01-07,20,9.56824215864017,8.6
2023-01-07,21,9.18727803235629,9.4
2023-01-07,22,8.86729766880635,8.7
2023-01-07,23,8.67807616763696,9.2
2023-01-08,0,8.79885118773151,12.1
2023-01-08,1,9.03642050114454,8.8
2023-01-08,2,9.43261359354329,8.2
2023-01-08,3,9.90917485343816,9.5
2023-01-08,4,10.4478474701524,9.5
2023-01-08,5,10.9981025794831,9.5
2023-01-08,6,11.5172222656939,12.1
2023-01-08,7,11.9646094549758,13.8
2023-01-08,8,12.3799677094407,12.8
2023-01-08,9,12.6982456677937,12.5
2023-01-08,10,12.7568232614103,12.1
2023-01-08,11,10.9681276404186,12.7
2023-01-08,12,9.90461108565544,10.6
