"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-01-01,0,1.52477579217283e-09,1.68039233913795e-09,4.0834563716372e-10,9.5265582262269e-10,4.19840445080918e-09
2023-01-01,1,1.45726200008987e-09,1.88181965032918e-09,5.28412211325802e-10,9.38576484517699e-10,3.97398689915571e-09
2023-01-01,2,1.41008381598744e-09,2.10770971671975e-09,6.33788556982399e-10,8.89840275154264e-10,3.65410275757379e-09
2023-01-01,3,1.37745811800002e-09,2.35297039008963e-09,7.14638403155284e-10,8.30064914765787e-10,3.54808746093468e-09
2023-01-01,4,1.35867779003994e-09,2.62254178616528e-09,7.82681227676761e-10,7.7958334304348e-10,3.62889040420988e-09
2023-01-01,5,1.33618919023108e-09,2.88393357529256e-09,8.39485886377665e-10,7.45907779647697e-10,3.60429475853999e-09
2023-01-01,6,1.3103882257439e-09,3.10752937341926e-09,8.89085551803392e-10,7.20914292428069e-10,3.5763981452437e-09
2023-01-01,7,1.29161101308968e-09,3.28101852045855e-09,9.27339982608648e-10,6.99682612012814e-10,3.64549334821865e-09
2023-01-01,8,1.28298558800847e-09,3.38539722660345e-09,9.40149166023664e-10,6.77591008916266e-10,3.57148946430585e-09
2023-01-01,9,1.27215150779348e-09,3.43821568839307e-09,9.24318879574025e-10,6.53935687629952e-10,3.69611035788003e-09
2023-01-01,10,1.24093409800566e-09,3.50081455160632e-09,8.63409208603887e-10,6.64192205900548e-10,3.75763568286232e-09
2023-01-01,11,1.20290931082928e-09,3.51210780206654e-09,5.16898438446625e-10,9.42882989363896e-10,2.98843396399516e-09
2023-01-01,12,1.08237193268193e-09,3.24706817206658e-09,3.73515924793736e-10,1.03021413965052e-09,2.47758686163684e-09
2023-01-01,13,1.00938958135909e-09,2.84188177878579e-09,3.31665646241043e-10,9.53826604789651e-10,2.36120670647657e-09
2023-01-01,14,9.80051405441028e-10,2.59356730379244e-09,3.16081296309082e-10,9.17997243813588e-10,2.38732620727166e-09
2023-01-01,15,9.03324019657149e-10,2.27870525855607e-09,2.95852506935253e-10,8.81407132582957e-10,2.3298566324912e-09
2023-01-01,16,8.5535647865293e-10,2.14759642743465e-09,2.93857386730547e-10,8.43431490895143e-10,2.35958354745836e-09
2023-01-01,17,8.25733237929988e-10,2.02074177296828e-09,2.83521007672915e-10,8.02882624411651e-10,2.29633372039739e-09
2023-01-01,18,9.87658218271482e-10,2.05331129724852e-09,2.77571322151912e-10,7.68482845636903e-10,2.11929775578755e-09
2023-01-01,19,9.76107197484368e-10,1.96224277565537e-09,2.6692679482555e-10,7.17400688361085e-10,1.9884165483586e-09
2023-01-01,20,1.00268757253813e-09,1.89275660699177e-09,2.56991091520395e-10,6.82345191302034e-10,1.83802805340714e-09
2023-01-01,21,1.41830444602893e-09,2.31782969624091e-09,2.75202578316257e-10,7.84470367856086e-10,1.65020857932239e-09
2023-01-01,22,1.37471260183751e-09,2.20963985620598e-09,2.70977226053492e-10,7.28663117108394e-10,1.54981584236566e-09
2023-01-01,23,1.35382493025383e-09,2.24435695226591e-09,3.06389294587906e-10,7.49174322811587e-10,1.46946309704772e-09
2023-01-02,0,1.32103324338036e-09,2.44969426465907e-09,4.13867503141422e-10,8.04213895876245e-10,1.38852416352731e-09
2023-01-02,1,1.28267565746045e-09,2.67315215438362e-09,5.3240047534985e-10,8.50757333166279e-10,1.34987083022628e-09
2023-01-02,2,1.25727234520775e-09,2.91025243010293e-09,6.49105166982572e-10,8.63255627896707e-10,1.3743426025589e-09
2023-01-02,3,1.23703264867875e-09,3.14333004828964e-09,7.53342692765805e-10,8.57320005419782e-10,1.42302525386645e-09
2023-01-02,4,1.21244816713351e-09,3.36824585231562e-09,8.43054668962654e-10,8.43811547219554e-10,1.48093482287936e-09
2023-01-02,5,1.1839480750631e-09,3.49629952458219e-09,8.99073817389111e-10,8.21496841878861e-10,1.53782186626799e-09
2023-01-02,6,1.15711244968e-09,3.55326592818171e-09,9.26662092843927e-10,7.88882400756027e-10,1.57035895615235e-09
2023-01-02,7,1.12843932680332e-09,3.60507637972704e-09,9.54270995610993e-10,7.38128373947342e-10,1.57509293794073e-09
2023-01-02,8,1.08707731703882e-09,3.67487571590556e-09,9.93660640368713e-10,6.77786795730219e-10,1.55445783312337e-09
2023-01-02,9,1.03184339535439e-09,3.73313799664765e-09,1.03681889495385e-09,6.12526835012234e-10,1.51659966982315e-09
2023-01-02,10,9.6200908893953e-10,3.72953760214255e-09,1.0502536236794e-09,5.46894919060709e-10,1.52540495396169e-09
2023-01-02,11,9.11848918149893e-10,2.48885517826602e-09,6.20012710057349e-10,5.60884767674037e-10,1.50698624453295e-09
2023-01-02,12,7.3005799481132e-10,1.56701577847538e-09,3.50361796764783e-10,5.09225520318936e-10,1.23846867713961e-09
2023-01-02,13,6.49972709870414e-10,1.36957097320533e-09,2.9825735536055e-10,5.04766606042718e-10,1.21688240552393e-09
2023-01-02,14,6.45541260562972e-10,1.36372826871128e-09,2.87628946623941e-10,5.5065027488926e-10,1.30966687009724e-09
2023-01-02,15,7.6767684975543e-10,1.51856910477356e-09,2.83151466086862e-10,7.25402812498015e-10,1.3200788216716e-09
2023-01-02,16,6.98836038611427e-10,1.61582248883047e-09,2.92132323140174e-10,7.3786301462537e-10,1.3899034136621e-09
2023-01-02,17,6.26402410430977e-10,1.67136576684234e-09,2.92139080941821e-10,7.98038842379279e-10,1.3955486021346e-09
2023-01-02,18,5.62171880315982e-10,1.66345248136406e-09,2.51264800683356e-10,1.2410181012988e-09,1.20129127354146e-09
2023-01-02,19,5.09701411645065e-10,1.7076823121266e-09,2.53056539156575e-10,1.15933832161902e-09,1.17977300442774e-09
2023-01-02,20,4.68542327454317e-10,1.66526600012739e-09,2.45636919452111e-10,1.18919260161008e-09,1.13039524248448e-09
2023-01-02,21,4.38629730640746e-10,1.61401436841817e-09,2.39436468177053e-10,1.23765065886551e-09,1.07195044801603e-09
2023-01-02,22,4.17307631972366e-10,1.59620494063041e-09,2.43408774910139e-10,1.30302983140029e-09,1.02571680455613e-09
2023-01-02,23,3.95859124397314e-10,1.72521522328467e-09,2.95277081119858e-10,1.44724563857037e-09,9.77068756021697e-10
2023-01-03,0,3.70723013797133e-10,2.00498108743276e-09,4.11416007564788e-10,1.64322716780687e-09,9.29316279596579e-10
2023-01-03,1,3.57292559135456e-10,2.13958742717913e-09,4.76306562164394e-10,1.76073484259428e-09,9.47928741455869e-10
2023-01-03,2,3.60057687549646e-10,2.36513311472025e-09,5.76545833515555e-10,1.74865039814657e-09,9.77005813098254e-10
2023-01-03,3,3.65718002350067e-10,2.60779756545548e-09,6.8439471665317e-10,1.70525896569097e-09,9.92757576828967e-10
2023-01-03,4,3.75744040055474e-10,2.81348424722647e-09,7.77692841033443e-10,1.64236874415028e-09,1.00645592437964e-09
2023-01-03,5,3.94594247129175e-10,2.97592246559317e-09,8.50559825709926e-10,1.56025812536316e-09,1.01948205442676e-09
2023-01-03,6,4.14154613849352e-10,3.10239119198077e-09,9.10608451138014e-10,1.48349652896208e-09,1.03101338713241e-09
2023-01-03,7,4.33665375663842e-10,3.22367666236298e-09,9.73091838281804e-10,1.39516852717546e-09,1.04791909854164e-09
2023-01-03,8,4.50741910389498e-10,3.27889665549183e-09,1.00606206915668e-09,1.29437311434703e-09,1.07243243392717e-09
2023-01-03,9,4.61822101170499e-10,3.23002663157879e-09,9.89769795962069e-10,1.19604801803179e-09,1.09659403599467e-09
2023-01-03,10,4.59012528771549e-10,3.04068505915583e-09,9.15633394544266e-10,1.09001559685305e-09,1.13369547155237e-09
2023-01-03,11,3.91610354434884e-10,2.04922154638525e-09,5.6050364139116e-10,9.40862229095794e-10,1.04838945162754e-09
2023-01-03,12,3.33717713307661e-10,1.17366740135763e-09,2.88589372793416e-10,6.82011964427392e-10,7.95882289244968e-10
2023-01-03,13,2.95002979337056e-10,8.90265429681191e-10,2.22980985350405e-10,5.95620243298606e-10,7.12805360892385e-10
2023-01-03,14,2.80506556960621e-10,8.21797569014113e-10,2.05978115409822e-10,5.98099085706637e-10,7.39258054443625e-10
2023-01-03,15,4.99049528650708e-10,8.90260841662858e-10,2.01596460391081e-10,7.23438437641119e-10,8.00962630489771e-10
2023-01-03,16,4.98112036636893e-10,9.72260478466287e-10,2.13308811430467e-10,7.14246969660509e-10,8.4865274956904e-10
2023-01-03,17,5.10856823863874e-10,1.1445469147366e-09,2.31712794510405e-10,7.4274733089766e-10,8.85122351673988e-10
2023-01-03,18,9.17751185472242e-10,1.38644730789919e-09,2.1743250371031e-10,1.07509487290848e-09,8.50409676312887e-10
