Area,Day,Hour,temp_2m,temp_850hPa,inversion,Inversion_dummy
Santiago,2023-01-01,0,284.98804,285.7995,0.8114624,1
Santiago,2023-01-01,1,284.7116,285.6609,0.9492798,1
Santiago,2023-01-01,2,284.2234,285.32196,1.0985718,1
Santiago,2023-01-01,3,284.43585,284.98416,0.5483093,1
Santiago,2023-01-01,4,283.4909,284.99884,1.5079346,1
Santiago,2023-01-01,5,282.80432,285.1512,2.3468933,1
Santiago,2023-01-01,6,281.78845,285.52972,3.741272,1
Santiago,2023-01-01,7,282.04218,285.89636,3.854187,1
Santiago,2023-01-01,8,281.38617,286.15,4.7638245,1
Santiago,2023-01-01,9,280.5492,286.12396,5.574768,1
Santiago,2023-01-01,10,280.56116,285.8448,5.2836304,1
Santiago,2023-01-01,11,282.961,286.0147,3.053711,1
Santiago,2023-01-01,12,286.1861,286.45013,0.2640381,1
Santiago,2023-01-01,13,287.80768,287.36713,-0.44055176,0
Santiago,2023-01-01,14,289.2563,288.0906,-1.1656799,0
Santiago,2023-01-01,15,290.5335,288.4903,-2.043213,0
Santiago,2023-01-01,16,291.5691,288.92633,-2.6427612,0
Santiago,2023-01-01,17,292.6875,289.23566,-3.4518433,0
Santiago,2023-01-01,18,293.67566,289.51636,-4.1593018,0
Santiago,2023-01-01,19,293.7776,289.7799,-3.9976807,0
Santiago,2023-01-01,20,293.88867,289.58203,-4.3066406,0
Santiago,2023-01-01,21,293.1565,289.29224,-3.8642578,0
Santiago,2023-01-01,22,292.63464,289.10254,-3.5321045,0
Santiago,2023-01-01,23,291.31372,288.95328,-2.360443,0
Santiago,2023-01-02,0,289.65558,288.6017,-1.0538635,0
Santiago,2023-01-02,1,288.86456,288.4151,-0.4494629,0
Santiago,2023-01-02,2,287.66913,288.41904,0.74990845,1
Santiago,2023-01-02,3,285.76697,288.40155,2.6345825,1
Santiago,2023-01-02,4,284.74286,288.44946,3.706604,1
Santiago,2023-01-02,5,283.51367,288.46902,4.955353,1
Santiago,2023-01-02,6,282.7547,288.39636,5.6416626,1
Santiago,2023-01-02,7,282.31897,288.30432,5.9853516,1
Santiago,2023-01-02,8,281.57947,288.30597,6.7265015,1
Santiago,2023-01-02,9,281.30975,288.4004,7.090637,1
Santiago,2023-01-02,10,281.78473,288.2041,6.4193726,1
Santiago,2023-01-02,11,284.69806,288.16974,3.4716797,1
Santiago,2023-01-02,12,287.8152,288.32513,0.50994873,1
Santiago,2023-01-02,13,289.32562,288.6917,-0.63391113,0
Santiago,2023-01-02,14,290.4649,288.9751,-1.4898071,0
Santiago,2023-01-02,15,292.4239,289.0948,-3.3291016,0
Santiago,2023-01-02,16,293.11804,289.31094,-3.8070984,0
Santiago,2023-01-02,17,293.39136,289.51526,-3.8760986,0
Santiago,2023-01-02,18,293.3374,289.30554,-4.0318604,0
Santiago,2023-01-02,19,293.30334,289.00092,-4.302429,0
Santiago,2023-01-02,20,293.34387,289.06653,-4.2773438,0
Santiago,2023-01-02,21,292.4569,288.83575,-3.6211548,0
Santiago,2023-01-02,22,291.28894,288.7334,-2.555542,0
Santiago,2023-01-02,23,290.04767,288.44562,-1.6020508,0
Santiago,2023-01-03,0,288.12225,287.95508,-0.1671753,0
Santiago,2023-01-03,1,287.27985,287.59845,0.31860352,1
Santiago,2023-01-03,2,286.46442,287.60565,1.1412354,1
Santiago,2023-01-03,3,285.0714,287.6134,2.5419922,1
Santiago,2023-01-03,4,284.53162,287.6803,3.1486816,1
Santiago,2023-01-03,5,283.51282,287.8858,4.372986,1
Santiago,2023-01-03,6,282.46857,287.91928,5.450714,1
Santiago,2023-01-03,7,281.65613,287.91803,6.261902,1
Santiago,2023-01-03,8,281.21747,288.03046,6.8129883,1
Santiago,2023-01-03,9,280.80347,288.12073,7.3172607,1
Santiago,2023-01-03,10,281.09943,287.9915,6.8920593,1
Santiago,2023-01-03,11,283.557,288.2315,4.6744995,1
