"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-01-01,0,7.47008901411724e-10,4.71744901399829e-09,1.53908024061347e-09,3.08045971769819e-09,8.00331974228508e-09
2023-01-01,1,7.12268644963794e-10,4.59763117499818e-09,1.56746790451001e-09,2.53274710245273e-09,9.75780096632538e-09
2023-01-01,2,6.81740529971669e-10,4.80226578376255e-09,1.66343994686887e-09,2.17168470787046e-09,7.75299477206006e-09
2023-01-01,3,6.58106242315922e-10,5.19900988712606e-09,1.81256412948251e-09,1.93402898306572e-09,1.1846528758506e-08
2023-01-01,4,6.39873258792865e-10,5.67059267594992e-09,1.98317246677496e-09,1.75704488772458e-09,1.401183351605e-08
2023-01-01,5,6.22913060945761e-10,6.11135588077412e-09,2.14688297723459e-09,1.576851764261e-09,1.20379086248875e-08
2023-01-01,6,6.02558196901074e-10,6.5701635883935e-09,2.33295555532938e-09,1.3816561495505e-09,1.43637060724244e-08
2023-01-01,7,5.80476241797786e-10,7.17458797060144e-09,2.5945155521218e-09,1.2193436594961e-09,1.49418057107881e-08
2023-01-01,8,5.57679825096433e-10,7.92504245523485e-09,2.92955170286767e-09,1.10858306940777e-09,1.21417680469809e-08
2023-01-01,9,5.61826009797477e-10,7.15498433314895e-09,2.60739166442112e-09,1.0857617016264e-09,1.32072705448993e-08
2023-01-01,10,6.21322472218002e-10,4.74443484409985e-09,1.60149817838879e-09,1.0933350683682e-09,9.68097640458498e-09
2023-01-01,11,6.16014153176917e-10,4.04791549493124e-09,1.33959413994058e-09,9.69601855886794e-10,7.78201830699179e-09
2023-01-01,12,6.63022548752582e-10,3.24172403220883e-09,9.53016289236659e-10,1.51840213462356e-09,4.80792656048731e-09
2023-01-01,13,6.47972220378066e-10,3.15549558971815e-09,9.5550168775424e-10,1.38132774820562e-09,4.82668913168237e-09
2023-01-01,14,6.30126583209137e-10,3.15059761426032e-09,9.68899062821487e-10,1.46846522242679e-09,4.94016657448396e-09
2023-01-01,15,6.44650361473445e-10,3.2401374364452e-09,9.78919703866534e-10,1.85848803336305e-09,4.89371387621504e-09
2023-01-01,16,6.52271900537506e-10,3.40756055685655e-09,1.02896966067047e-09,2.17042352754877e-09,6.33654280204877e-09
2023-01-01,17,6.55815141972218e-10,3.5629290849582e-09,1.06791522469545e-09,2.64286929159803e-09,7.00292071185125e-09
2023-01-01,18,6.61466313956605e-10,3.69551055661127e-09,1.0961104098415e-09,3.15352879934013e-09,7.59842486998917e-09
2023-01-01,19,6.66032832767507e-10,3.85033876616346e-09,1.13089391926794e-09,3.68242467509145e-09,8.18689453523872e-09
2023-01-01,20,6.79611490259806e-10,4.11303716020724e-09,1.18420088932568e-09,4.42413700090644e-09,8.32961758530544e-09
2023-01-01,21,6.96914608081011e-10,4.74362118742201e-09,1.34151109650396e-09,5.46116387944724e-09,8.36908010601323e-09
2023-01-01,22,7.01185423708972e-10,5.51980122346458e-09,1.54649140891795e-09,6.52755276369407e-09,8.80889631848852e-09
2023-01-01,23,6.85769394954727e-10,5.97833807222778e-09,1.66206326186155e-09,7.37935080258995e-09,9.509917905839e-09
2023-01-02,0,6.49467235430711e-10,6.07472628436404e-09,1.68195784119944e-09,8.01180790203156e-09,1.48255481909011e-08
2023-01-02,1,6.01768284223705e-10,6.03363858734437e-09,1.68423905337877e-09,8.39036262594906e-09,1.77077851973642e-08
2023-01-02,2,5.49463194920703e-10,6.00486094846247e-09,1.70952658515191e-09,8.34772532687573e-09,1.56436718379629e-08
2023-01-02,3,4.89950139531318e-10,6.07896024690984e-09,1.79757750756726e-09,7.87493231624195e-09,1.70720069123109e-08
2023-01-02,4,4.34064914296611e-10,6.19613626980922e-09,1.90962556359498e-09,7.24742151757491e-09,1.69120366371118e-08
2023-01-02,5,3.92262820644607e-10,6.45227066253026e-09,2.04313294994778e-09,6.72349095268057e-09,1.38410019178336e-08
2023-01-02,6,3.6210605520495e-10,6.50476759034204e-09,2.09699777625695e-09,6.24346133603834e-09,1.57537706027035e-08
2023-01-02,7,3.42233381897525e-10,6.70962942427326e-09,2.19019543709511e-09,5.78870357574037e-09,1.69549364002807e-08
