"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-01-01,0,8.66030882735471e-11,4.64637772592917e-09,1.58467148723886e-09,1.01949724142934e-09,3.02446603178685e-09
2023-01-01,1,8.83816756522412e-11,5.87392356781423e-09,2.04636159309001e-09,1.07588516570713e-09,3.18572382698983e-09
2023-01-01,2,9.0024067515756e-11,6.90753783577462e-09,2.44489803684529e-09,1.14776691032296e-09,3.32792080351418e-09
2023-01-01,3,9.21063896844548e-11,7.7556933015567e-09,2.77681307158176e-09,1.26404328234446e-09,3.45223280788943e-09
2023-01-01,4,9.42517321140927e-11,8.51346772029124e-09,3.06726966297754e-09,1.40458105175466e-09,3.57225803896289e-09
2023-01-01,5,9.60688973440952e-11,9.2525893557148e-09,3.3431921984484e-09,1.54145262157811e-09,3.68291733167294e-09
2023-01-01,6,9.74365423550084e-11,9.97629652390968e-09,3.61058850211534e-09,1.66508324597921e-09,3.78268402939728e-09
2023-01-01,7,9.84549286275362e-11,1.06426984339096e-08,3.8578049352039e-09,1.76703051800106e-09,3.87243710708862e-09
2023-01-01,8,9.92099902460985e-11,1.11316569512479e-08,4.04404385337138e-09,1.84707056415231e-09,3.95582609963134e-09
2023-01-01,9,9.97537970296922e-11,1.13174256724004e-08,4.1236422027675e-09,1.91159491973745e-09,4.03124885393642e-09
2023-01-01,10,1.00111259688747e-10,1.11126820323895e-08,4.0552151107584e-09,1.96737833240302e-09,4.08848770312199e-09
2023-01-01,11,1.0027363482731e-10,1.05638633331358e-08,3.84419777997927e-09,2.00716676157335e-09,4.12321617723321e-09
2023-01-01,12,1.00403141252154e-10,9.84962344216349e-09,3.55569024961325e-09,2.02858507980996e-09,4.14615277787717e-09
2023-01-01,13,1.0050092296259e-10,9.2123175630867e-09,3.29052576462582e-09,2.02217271437965e-09,4.21194273415079e-09
2023-01-01,14,9.77486674332603e-11,7.25899402588027e-09,2.52641811778701e-09,1.93612343204249e-09,4.12286815050424e-09
2023-01-01,15,9.03039209673663e-11,3.36141777455314e-09,1.02379973625894e-09,1.43735017838669e-09,2.81739444263612e-09
2023-01-01,16,8.34516321673797e-11,2.46078051929473e-09,7.2233008303565e-10,1.12106022867055e-09,2.33465845766133e-09
2023-01-01,17,7.8360493007551e-11,2.2140966393744e-09,6.5114007263313e-10,9.54816444876175e-10,2.17346188404821e-09
2023-01-01,18,7.25014231847475e-11,2.1449775970705e-09,6.56675342195715e-10,5.90498016152588e-10,2.04134272083645e-09
2023-01-01,19,7.07575309921629e-11,2.22205515738785e-09,6.75290293762664e-10,6.40826517108654e-10,2.00686677817368e-09
2023-01-01,20,7.03322120459765e-11,2.28677213650512e-09,6.95524517157781e-10,6.44675681192369e-10,1.94332751789466e-09
2023-01-01,21,7.34553280763608e-11,2.47844841394854e-09,7.18030279466897e-10,1.02066464280999e-09,2.09946843292503e-09
2023-01-01,22,7.5222846294669e-11,2.55280579856444e-09,7.60913519123668e-10,9.51702394978238e-10,2.17082230685207e-09
2023-01-01,23,7.73450026796834e-11,3.01504975023029e-09,9.35807562680007e-10,9.89658578665845e-10,2.28260705405518e-09
2023-01-02,0,7.91707233287003e-11,4.08886740817845e-09,1.3390722652354e-09,1.03254655297929e-09,2.42360404824598e-09
2023-01-02,1,8.07634115699207e-11,5.20282854169288e-09,1.76731965086802e-09,1.05967082038392e-09,2.53527451452278e-09
2023-01-02,2,8.20081931643445e-11,6.2130298603396e-09,2.1661015336006e-09,1.0752621782328e-09,2.62972486939506e-09
2023-01-02,3,8.2911165543017e-11,7.12136598345417e-09,2.53237815548042e-09,1.09152314126787e-09,2.72015723975453e-09
2023-01-02,4,8.3493100915032e-11,7.88912020367911e-09,2.84511109430955e-09,1.11474805710061e-09,2.80581485237637e-09
2023-01-02,5,8.37974696211064e-11,8.38825413990163e-09,3.04696796732309e-09,1.14859969392632e-09,2.8781525708739e-09
2023-01-02,6,8.3927988677227e-11,8.6544906592774e-09,3.14302313168813e-09,1.19145757507006e-09,2.9333987430942e-09
2023-01-02,7,8.39930369010602e-11,8.85553978714412e-09,3.20053192650639e-09,1.24597062338807e-09,2.96242136008616e-09
2023-01-02,8,8.40588812579368e-11,9.05493043805265e-09,3.2540781585164e-09,1.31102372339341e-09,2.98343880546573e-09
2023-01-02,9,8.39134264596928e-11,8.98089392697282e-09,3.21604170616489e-09,1.36833586594689e-09,3.2206952316682e-09
2023-01-02,10,8.39201038474208e-11,8.89131631797054e-09,3.18237164767012e-09,1.42686962749774e-09,3.62844785380817e-09
2023-01-02,11,8.5091105870254e-11,8.94138534111681e-09,3.20391621436503e-09,1.55282303161697e-09,4.003095521515e-09
2023-01-02,12,8.5599691485689e-11,9.04118405164502e-09,3.2497414552109e-09,1.65414703294378e-09,5.09749798925305e-09
2023-01-02,13,8.4691619118253e-11,8.85047187122213e-09,3.18927038608658e-09,1.67879374654177e-09,6.37218595857941e-09
2023-01-02,14,8.29035160291279e-11,6.4356447365254e-09,2.26745027875203e-09,1.60314835197109e-09,5.45564393227699e-09
2023-01-02,15,8.4370408178462e-11,3.1384755693831e-09,9.87891542414366e-10,1.54444271781295e-09,3.38854956604979e-09
2023-01-02,16,8.59726044221136e-11,2.39776669423404e-09,7.15378955509424e-10,1.34769045635709e-09,2.66750470301856e-09
2023-01-02,17,8.52177280937026e-11,2.15123774387682e-09,6.34033261873515e-10,1.18908298230589e-09,2.40547385433948e-09
2023-01-02,18,8.30173147463493e-11,1.99559187311895e-09,5.97481127670007e-10,8.37537277378897e-10,2.27441965841525e-09
2023-01-02,19,8.32466388439026e-11,1.98234878615337e-09,5.86878098378309e-10,8.57341246661512e-10,2.46875730654846e-09
2023-01-02,20,8.38545584626814e-11,1.97694778050154e-09,5.85790029222592e-10,8.2682095783708e-10,2.46005130459179e-09
2023-01-02,21,8.61725117836927e-11,2.02696780199222e-09,5.88708695562021e-10,1.12215395141205e-09,2.52248769083956e-09
2023-01-02,22,8.93204265467516e-11,2.11948390468116e-09,6.18203892889307e-10,1.11969461350295e-09,2.74310789979016e-09
2023-01-02,23,9.26886538678837e-11,2.5392551126005e-09,7.57217023133507e-10,1.25399421434854e-09,2.9623639176456e-09
2023-01-03,0,9.48113166922033e-11,3.55789277195744e-09,1.12353886670647e-09,1.36242038289124e-09,3.15322223095726e-09
2023-01-03,1,9.65647664064593e-11,4.6889891823932e-09,1.53994610178855e-09,1.43042202079479e-09,3.30818158338162e-09
2023-01-03,2,9.81840289884166e-11,5.78126908910674e-09,1.94227177901076e-09,1.48528345476689e-09,3.44174590953886e-09
2023-01-03,3,9.95744185483581e-11,6.79524307699644e-09,2.3185198102767e-09,1.5278726765754e-09,3.5642756087079e-09
2023-01-03,4,1.00762271820727e-10,7.64016404980992e-09,2.63014089652534e-09,1.56308165168801e-09,3.65950338326697e-09
2023-01-03,5,1.01769571306113e-10,8.34760526370951e-09,2.88972843494762e-09,1.59768854244603e-09,3.71949250338368e-09
2023-01-03,6,1.02649687930495e-10,8.89941932516805e-09,3.09587456462802e-09,1.63339683982187e-09,3.7512325461609e-09
2023-01-03,7,1.03555121397277e-10,9.14267968494045e-09,3.18994802588849e-09,1.67616362044438e-09,3.76670275168117e-09
2023-01-03,8,1.05416248589307e-10,9.3137484623567e-09,3.23836232525923e-09,1.77067550975307e-09,3.92992218010545e-09
2023-01-03,9,1.07131361351813e-10,9.43162266103977e-09,3.26294165243959e-09,1.85367434113936e-09,4.35588922700555e-09
2023-01-03,10,1.07675817372609e-10,9.20614099536587e-09,3.173862217422e-09,1.87352822665632e-09,5.28995016757863e-09
2023-01-03,11,1.07347024688341e-10,8.86841693440929e-09,3.05451928767769e-09,1.88275052650068e-09,5.83844348778575e-09
2023-01-03,12,1.07010444372991e-10,8.40431574875879e-09,2.88687002704706e-09,1.90933463766092e-09,6.95857836933642e-09
2023-01-03,13,1.07533054871976e-10,7.88030093110993e-09,2.69630590261655e-09,1.97175376259696e-09,8.51053875245908e-09
2023-01-03,14,1.07528071523037e-10,5.56604767137925e-09,1.8565480236054e-09,1.95838160781375e-09,7.83006595000448e-09
2023-01-03,15,1.08238154628227e-10,2.63227841092043e-09,8.30492185357199e-10,1.44403159482026e-09,4.55905046700678e-09
2023-01-03,16,1.05278508712837e-10,1.94269953119122e-09,6.0316221560787e-10,1.02477492900451e-09,2.87824206157174e-09
2023-01-03,17,1.01094708952342e-10,1.90797957337965e-09,5.69653782817232e-10,8.53740806972285e-10,2.39809841624285e-09
2023-01-03,18,9.39619840640497e-11,1.91325198593177e-09,5.90575331653053e-10,2.91843796864006e-10,2.00776915947921e-09
2023-01-03,19,9.33177101604811e-11,2.15452892847598e-09,6.16460442182153e-10,3.78398909184645e-10,1.91930753701188e-09
2023-01-03,20,9.39095819201463e-11,2.39622203524782e-09,6.49544075535628e-10,3.92475367228537e-10,1.91640383564399e-09
2023-01-03,21,1.04145080885196e-10,2.39752702874173e-09,6.64148070523771e-10,2.14228222601064e-10,1.62104814895861e-09
2023-01-03,22,1.05789792849881e-10,2.66324977110828e-09,7.16094480940213e-10,3.02643492027226e-10,1.76965059506219e-09
2023-01-03,23,1.11319513248907e-10,3.17485791356906e-09,8.90511233438314e-10,3.79256188208347e-10,1.93262693007215e-09
2023-01-04,0,1.16915439718371e-10,4.42141713844456e-09,1.36570516251185e-09,4.52483211882686e-10,2.11536362216972e-09
2023-01-04,1,1.2089663179658e-10,5.80856323608402e-09,1.92344703451317e-09,5.13289758949636e-10,2.28722515894456e-09
2023-01-04,2,1.22024804774117e-10,7.21247367168817e-09,2.48694348935988e-09,5.53515041296754e-10,2.45844460977987e-09
2023-01-04,3,1.20738798116643e-10,8.57746225869233e-09,3.01252726627246e-09,5.72636750273718e-10,2.65156029619941e-09
2023-01-04,4,1.18692846787146e-10,9.86127190213786e-09,3.47021297374822e-09,5.71802329850336e-10,2.86362212761904e-09
2023-01-04,5,1.17050492443803e-10,1.09801534492297e-08,3.84084357873092e-09,5.55704348273564e-10,3.0765549098111e-09
2023-01-04,6,1.15968777315904e-10,1.18194232244344e-08,4.0911561022608e-09,5.36822435408171e-10,3.26637834109026e-09
2023-01-04,7,1.15366276288862e-10,1.22697256768785e-08,4.19149941512965e-09,5.24886708709181e-10,3.40625167926257e-09
