level,outcome,native_change,native_selection,procedure_common,baseline_selection,aggregation_common,additional_B_common,reconciliation_error,population_fine,population_native,population_common,city_id
fine,hrs_d_pm10_it1,0,0,0,0,0,0,0,4255038,4255038,4255038,bogota_2018
fine,hrs_d_pm10_it2,0,0,0,0,0,0,0,4255038,4255038,4255038,bogota_2018
fine,avg_pm10,0,0,0,0,0,0,0,4255038,4255038,4255038,bogota_2018
fine,hrs_d_pm25_it1,0,0,0,0,0,0,0,4251366,4251366,4251366,bogota_2018
fine,hrs_d_pm25_it2,0,0,0,0,0,0,0,4251366,4251366,4251366,bogota_2018
fine,avg_pm25,1.77635683940025e-15,0,1.77635683940025e-15,0,0,1.77635683940025e-15,0,4251366,4251366,4251366,bogota_2018
seccion,hrs_d_pm10_it1,0.132549551293092,0.331362717684176,-0.249004018497853,0.0501908521067698,-0.0232141678561035,-0.22578985064175,0,4255038,4234229,4154476,bogota_2018
seccion,hrs_d_pm10_it2,-0.0731757316034134,0.342339786933977,-1.05856994482481,0.643054426287421,-0.141096216955873,-0.917473727868938,0,4255038,4234229,4154476,bogota_2018
seccion,avg_pm10,-0.0724488588766583,0.0265892169556778,-0.0818691932359208,-0.0171688825964154,0.00170822669656445,-0.0835774199324852,0,4255038,4234229,4154476,bogota_2018
seccion,hrs_d_pm25_it1,-0.126844821063285,0.129196361778293,-0.274630169690482,0.0185889868489042,-0.0362411002578611,-0.238389069432621,0,4251366,4228451,4150804,bogota_2018
seccion,hrs_d_pm25_it2,-1.32925753227751,-0.0074238083896887,-1.00273225050547,-0.319101473382347,-0.263089259522275,-0.739642990983199,0,4251366,4228451,4150804,bogota_2018
seccion,avg_pm25,-0.0284927228809497,-0.000923914334862275,-0.0243287999630581,-0.00324000858302931,-0.000104140940102582,-0.0242246590229556,0,4251366,4228451,4150804,bogota_2018
sector,hrs_d_pm10_it1,-2.21605112705782,-0.393111416852291,-0.796284951338119,-1.02665475886741,0.175777674514139,-0.972062625852258,0,4255038,4100522,3973908,bogota_2018
sector,hrs_d_pm10_it2,-6.04457835887283,-1.4572585110385,-3.95758136747128,-0.629738480363045,-1.00442911490559,-2.95315225256569,0,4255038,4100522,3973908,bogota_2018
sector,avg_pm10,-0.387690919322477,-0.0629017010479487,-0.197207561003687,-0.127581657270841,-0.0245641278029929,-0.172643433200694,0,4255038,4100522,3973908,bogota_2018
sector,hrs_d_pm25_it1,-0.963641635409125,-0.227216226679966,-0.133680911517704,-0.602744497211456,0.0291665707580915,-0.162847482275795,0,4251366,4096457,3971949,bogota_2018
sector,hrs_d_pm25_it2,-5.52965941582056,-1.35558048446862,-1.67895045731166,-2.49512847404029,-1.00682419421838,-0.672126263093276,0,4251366,4096457,3971949,bogota_2018
sector,avg_pm25,-0.0923135523295819,-0.032352754767734,-0.0230371320076248,-0.0369236655542231,-0.0199857456513417,-0.0030513863562831,0,4251366,4096457,3971949,bogota_2018
localidad,hrs_d_pm10_it1,-14.045260385115,-0.435658441784817,1.57515994924348,-15.1847618925737,-0.041759294404774,1.61691924364825,1.77635683940025e-15,4255038,3401841,2951799,bogota_2018
localidad,hrs_d_pm10_it2,-47.3816866624463,-7.98767706515336,10.8283625574061,-50.222372154699,-3.87982426974538,14.7081868271514,0,4255038,3401841,2951799,bogota_2018
localidad,avg_pm10,-3.2330273340344,-0.597388461346259,-1.18242789171008,-1.45321098097806,-1.51046637771804,0.328038486007959,0,4255038,3401841,2951799,bogota_2018
localidad,hrs_d_pm25_it1,-9.94105743469843,-0.147854534639138,-2.70776347140988,-7.08543942864941,-1.08610599432603,-1.62165747708385,0,4251366,3401841,2951799,bogota_2018
localidad,hrs_d_pm25_it2,-50.5079469777237,-6.72606440127464,-20.7985239964323,-22.9833585800167,-13.813517870917,-6.98500612551536,0,4251366,3401841,2951799,bogota_2018
localidad,avg_pm25,-1.10498376905527,-0.304285543135103,-0.769150296499625,-0.0315479294205385,-0.817213537675006,0.048063241175381,0,4251366,3401841,2951799,bogota_2018
municipio,hrs_d_pm10_it1,-16.5432112658347,0,-0.0332813997759864,-16.5099298660588,-0.133809206473631,0.100527806697645,0,4255038,224520,126498,bogota_2018
municipio,hrs_d_pm10_it2,-94.9829839466577,-2.21153043689969,-4.77080849758232,-88.0006450121757,-3.77452444901611,-0.99628404856621,0,4255038,224520,126498,bogota_2018
municipio,avg_pm10,-8.40748394519011,-1.35283687429189,-0.784005656963362,-6.27064141393485,-0.320746516680018,-0.463259140283345,0,4255038,224520,126498,bogota_2018
