design,level,outcome,delta,lower,upper,n_boot,valid_replicates,n_clusters,seed,interval_type,city_id
A,fine,hrs_d_pm10_it1,0,,,0,0,37416,20260910,descriptive,bogota_2018
B_common,fine,hrs_d_pm10_it1,0,,,0,0,37416,20260910,descriptive,bogota_2018
A,fine,hrs_d_pm10_it2,0,,,0,0,37416,20260910,descriptive,bogota_2018
B_common,fine,hrs_d_pm10_it2,0,,,0,0,37416,20260910,descriptive,bogota_2018
A,fine,avg_pm10,0,,,0,0,37416,20260910,descriptive,bogota_2018
B_common,fine,avg_pm10,0,,,0,0,37416,20260910,descriptive,bogota_2018
A,fine,hrs_d_pm25_it1,0,,,0,0,37326,20260910,descriptive,bogota_2018
B_common,fine,hrs_d_pm25_it1,0,,,0,0,37326,20260910,descriptive,bogota_2018
A,fine,hrs_d_pm25_it2,0,,,0,0,37326,20260910,descriptive,bogota_2018
B_common,fine,hrs_d_pm25_it2,0,,,0,0,37326,20260910,descriptive,bogota_2018
A,fine,avg_pm25,0,,,0,0,37326,20260910,descriptive,bogota_2018
B_common,fine,avg_pm25,1.77635683940025e-15,,,0,0,37326,20260910,descriptive,bogota_2018
A,seccion,hrs_d_pm10_it1,-0.0229122117437228,-0.053013167281121,0.00525934283395859,999,999,2840,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,seccion,hrs_d_pm10_it1,-0.249004018497853,-0.577303790574335,0.0402066538361992,999,999,2719,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,seccion,hrs_d_pm10_it2,-0.140076184851068,-0.307345202455196,0.0237316145892798,999,999,2840,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,seccion,hrs_d_pm10_it2,-1.05856994482481,-3.48733577769224,0.786973672863284,999,999,2719,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,seccion,avg_pm10,0.00150508137704364,-0.011876291148551,0.0135106656091473,999,999,2840,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,seccion,avg_pm10,-0.0818691932359208,-0.176481780879774,0.00376424100987033,999,999,2719,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,seccion,hrs_d_pm25_it1,-0.0352842475865476,-0.0647019891164899,-0.0116715529328416,999,999,2833,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,seccion,hrs_d_pm25_it1,-0.274630169690482,-0.480371409804713,-0.0842242144396658,999,999,2712,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,seccion,hrs_d_pm25_it2,-0.258598814402532,-0.486578086910212,-0.0804438758034692,999,999,2833,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,seccion,hrs_d_pm25_it2,-1.00273225050547,-2.64549161503957,0.932350369120723,999,999,2712,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,seccion,avg_pm25,-0.000329327925722822,-0.00657693187619932,0.00564987538161397,999,999,2833,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,seccion,avg_pm25,-0.0243287999630581,-0.0659062282388874,0.0281995098491484,999,999,2712,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,sector,hrs_d_pm10_it1,0.160380709960602,-0.494822013121427,1.05810391681568,999,999,749,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,sector,hrs_d_pm10_it1,-0.796284951338119,-3.2904307213087,1.43574127441118,999,999,674,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,sector,hrs_d_pm10_it2,-0.977696021762171,-2.3160563413553,0.187723514921342,999,999,749,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,sector,hrs_d_pm10_it2,-3.95758136747128,-9.71555117448532,1.0176831386302,999,999,674,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,sector,avg_pm10,-0.0255335535827896,-0.0863169372221213,0.0380586697860158,999,999,749,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,sector,avg_pm10,-0.197207561003687,-0.415122725450022,0.0286717944928178,999,999,674,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,sector,hrs_d_pm25_it1,0.0207887312975625,-0.217451016609732,0.354014919996928,999,999,743,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,sector,hrs_d_pm25_it1,-0.133680911517704,-1.2494154667387,0.985641643524723,999,999,669,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,sector,hrs_d_pm25_it2,-0.984993111496436,-2.19065367107931,-0.0325933869917497,999,999,743,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,sector,hrs_d_pm25_it2,-1.67895045731166,-5.98966923878135,2.35779894475063,999,999,669,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,sector,avg_pm25,-0.0197082226251091,-0.0449673145455079,0.00426806782909103,999,999,743,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
B_common,sector,avg_pm25,-0.0230371320076248,-0.118937222130982,0.0800758705982185,999,999,669,20260910,conditional_geographic_cluster_bootstrap,bogota_2018
A,localidad,hrs_d_pm10_it1,1.15612692083101,,,0,0,36,20260910,descriptive,bogota_2018
B_common,localidad,hrs_d_pm10_it1,1.57515994924348,,,0,0,17,20260910,descriptive,bogota_2018
A,localidad,hrs_d_pm10_it2,-2.55130898507329,,,0,0,36,20260910,descriptive,bogota_2018
B_common,localidad,hrs_d_pm10_it2,10.8283625574061,,,0,0,17,20260910,descriptive,bogota_2018
A,localidad,avg_pm10,-1.16030786807357,,,0,0,36,20260910,descriptive,bogota_2018
B_common,localidad,avg_pm10,-1.18242789171008,,,0,0,17,20260910,descriptive,bogota_2018
A,localidad,hrs_d_pm25_it1,-1.48599135886423,,,0,0,35,20260910,descriptive,bogota_2018
B_common,localidad,hrs_d_pm25_it1,-2.70776347140988,,,0,0,17,20260910,descriptive,bogota_2018
A,localidad,hrs_d_pm25_it2,-13.5954872719462,,,0,0,35,20260910,descriptive,bogota_2018
B_common,localidad,hrs_d_pm25_it2,-20.7985239964323,,,0,0,17,20260910,descriptive,bogota_2018
A,localidad,avg_pm25,-0.599864578133133,,,0,0,35,20260910,descriptive,bogota_2018
B_common,localidad,avg_pm25,-0.769150296499625,,,0,0,17,20260910,descriptive,bogota_2018
A,municipio,hrs_d_pm10_it1,-4.21810267335763,,,0,0,17,20260910,descriptive,bogota_2018
B_common,municipio,hrs_d_pm10_it1,-0.0332813997759864,,,0,0,4,20260910,descriptive,bogota_2018
A,municipio,hrs_d_pm10_it2,-66.9499808353503,,,0,0,17,20260910,descriptive,bogota_2018
B_common,municipio,hrs_d_pm10_it2,-4.77080849758232,,,0,0,4,20260910,descriptive,bogota_2018
A,municipio,avg_pm10,-6.14536519897438,,,0,0,17,20260910,descriptive,bogota_2018
B_common,municipio,avg_pm10,-0.784005656963362,,,0,0,4,20260910,descriptive,bogota_2018
A,municipio,hrs_d_pm25_it1,-7.67459080880265,,,0,0,16,20260910,descriptive,bogota_2018
B_common,municipio,hrs_d_pm25_it1,-0.210277439650251,,,0,0,4,20260910,descriptive,bogota_2018
A,municipio,hrs_d_pm25_it2,-75.4982913752091,,,0,0,16,20260910,descriptive,bogota_2018
B_common,municipio,hrs_d_pm25_it2,-3.5442663417824,,,0,0,4,20260910,descriptive,bogota_2018
A,municipio,avg_pm25,-2.6071031770285,,,0,0,16,20260910,descriptive,bogota_2018
B_common,municipio,avg_pm25,-0.274121532501841,,,0,0,4,20260910,descriptive,bogota_2018
A,fine,hrs_d_pm10_it1,0,,,0,0,606,20260910,descriptive,santiago_2017
B_common,fine,hrs_d_pm10_it1,0,,,0,0,606,20260910,descriptive,santiago_2017
A,fine,hrs_d_pm10_it2,0,,,0,0,606,20260910,descriptive,santiago_2017
B_common,fine,hrs_d_pm10_it2,0,,,0,0,606,20260910,descriptive,santiago_2017
A,fine,avg_pm10,0,,,0,0,606,20260910,descriptive,santiago_2017
B_common,fine,avg_pm10,0,,,0,0,606,20260910,descriptive,santiago_2017
A,fine,hrs_d_pm25_it1,0,,,0,0,606,20260910,descriptive,santiago_2017
B_common,fine,hrs_d_pm25_it1,0,,,0,0,606,20260910,descriptive,santiago_2017
A,fine,hrs_d_pm25_it2,0,,,0,0,606,20260910,descriptive,santiago_2017
B_common,fine,hrs_d_pm25_it2,0,,,0,0,606,20260910,descriptive,santiago_2017
A,fine,avg_pm25,3.5527136788005e-15,,,0,0,606,20260910,descriptive,santiago_2017
B_common,fine,avg_pm25,0,,,0,0,606,20260910,descriptive,santiago_2017
A,distrito,hrs_d_pm10_it1,0.198378367044597,-0.0819833897729836,0.631087138842724,999,999,162,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
B_common,distrito,hrs_d_pm10_it1,0.49518199847995,-0.644381948048107,1.77339362732557,999,999,133,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
A,distrito,hrs_d_pm10_it2,0.94535170391282,0.211346729526849,2.07125405232189,999,999,162,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
B_common,distrito,hrs_d_pm10_it2,1.55168250145402,-3.49905838509994,7.09080220337173,999,999,133,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
A,distrito,avg_pm10,0.00806287790121019,-0.00345744136580137,0.0265318662166301,999,999,162,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
B_common,distrito,avg_pm10,0.0185134149033956,-0.0284925370920305,0.0636021968499058,999,999,133,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
A,distrito,hrs_d_pm25_it1,0.0123604881258075,-0.165856632414889,0.245472208237871,999,999,162,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
B_common,distrito,hrs_d_pm25_it1,-0.0276100027124642,-0.519900592158497,0.373462256708442,999,999,133,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
A,distrito,hrs_d_pm25_it2,0.795547432514582,0.231797548237557,1.47909863001981,999,999,162,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
B_common,distrito,hrs_d_pm25_it2,1.55089133090007,-3.15059306923951,6.44845420281707,999,999,133,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
A,distrito,avg_pm25,-8.87560435138823e-05,-0.00306502886798779,0.00229801216056131,999,999,162,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
B_common,distrito,avg_pm25,0.00888987609921088,0.000638448615510257,0.0196977914446581,999,999,133,20260910,conditional_geographic_cluster_bootstrap,santiago_2017
A,comuna,hrs_d_pm10_it1,0.505385957644933,,,0,0,26,20260910,descriptive,santiago_2017
B_common,comuna,hrs_d_pm10_it1,-2.51462601602367,,,0,0,12,20260910,descriptive,santiago_2017
A,comuna,hrs_d_pm10_it2,1.18249709895827,,,0,0,26,20260910,descriptive,santiago_2017
B_common,comuna,hrs_d_pm10_it2,-1.58630189983637,,,0,0,12,20260910,descriptive,santiago_2017
A,comuna,avg_pm10,0.00469637960281943,,,0,0,26,20260910,descriptive,santiago_2017
B_common,comuna,avg_pm10,-0.155643765211835,,,0,0,12,20260910,descriptive,santiago_2017
A,comuna,hrs_d_pm25_it1,-0.0717521945271074,,,0,0,26,20260910,descriptive,santiago_2017
B_common,comuna,hrs_d_pm25_it1,1.79153718665287,,,0,0,12,20260910,descriptive,santiago_2017
A,comuna,hrs_d_pm25_it2,2.47620961888208,,,0,0,26,20260910,descriptive,santiago_2017
B_common,comuna,hrs_d_pm25_it2,4.95765464991121,,,0,0,12,20260910,descriptive,santiago_2017
A,comuna,avg_pm25,0.0230088337472019,,,0,0,26,20260910,descriptive,santiago_2017
B_common,comuna,avg_pm25,-0.0016050982632656,,,0,0,12,20260910,descriptive,santiago_2017
A,fine,hrs_d_pm10_it1,0,,,0,0,189,20260910,descriptive,sao_paulo_2010
B_common,fine,hrs_d_pm10_it1,0,,,0,0,189,20260910,descriptive,sao_paulo_2010
