level,outcome,population,mean_B_minus_fine,mean_absolute_B_minus_fine,rmse_B_minus_fine,mean_B_minus_A,mean_absolute_B_minus_A,rmse_B_minus_A,city_id
fine,hrs_d_pm10_it1,4255038,0,0,0,0,0,0,bogota_2018
fine,hrs_d_pm10_it2,4255038,0,0,0,0,0,0,bogota_2018
fine,avg_pm10,4255038,1.85858284908617e-16,4.68694600775619e-15,7.16867541162754e-15,1.76838814456122e-16,4.84953234726446e-15,7.3038485183938e-15,bogota_2018
fine,hrs_d_pm25_it1,4251366,0,0,0,0,0,0,bogota_2018
fine,hrs_d_pm25_it2,4251366,0,0,0,0,0,0,bogota_2018
fine,avg_pm25,4251366,-3.30854016785781e-16,2.07658084436726e-15,3.36332957853677e-15,-3.22918342164422e-16,2.15431828259112e-15,3.41439339829107e-15,bogota_2018
seccion,hrs_d_pm10_it1,4154476,-0.234504664366818,1.08786715821682,7.04418947376391,-0.233423398240622,0.95802855844165,4.5568973418369,bogota_2018
seccion,hrs_d_pm10_it2,4154476,-0.834522572762486,7.13209656283969,30.8651413058759,-0.828440238965164,6.45295135021765,23.4891350588413,bogota_2018
seccion,avg_pm10,4154476,-0.0336372761025269,0.394941773551134,1.60010248968725,-0.0333602332266731,0.359295030194044,1.23294874166147,bogota_2018
seccion,hrs_d_pm25_it1,4150804,-0.115468473095815,0.637656945497788,4.64927199775995,-0.114807130792011,0.582059289002267,2.81528327328011,bogota_2018
seccion,hrs_d_pm25_it2,4150804,-0.799432591854494,5.9989009358187,23.2191326643434,-0.794938404341012,5.39890647772623,17.6017176375427,bogota_2018
seccion,avg_pm25,4150804,-0.0115207033770115,0.157443177344434,0.659298386658447,-0.011448610236722,0.145008898284878,0.522060862646906,bogota_2018
sector,hrs_d_pm10_it1,3973908,-1.19761453964209,3.52777316435106,20.1952771821803,-1.19730729335472,2.98867845455452,14.4253782675495,bogota_2018
sector,hrs_d_pm10_it2,3973908,-2.00153752930365,16.5043528939271,50.2223292851559,-1.99792549328321,14.4577243287542,36.7646420020137,bogota_2018
sector,avg_pm10,3973908,-0.203781953339319,0.999486207572955,2.58308098066032,-0.203740133130139,0.872194439641087,1.85317323985995,bogota_2018
sector,hrs_d_pm25_it1,3971949,-0.433856779127829,1.85149633089448,8.89626288294793,-0.434253713556867,1.63880219094311,6.20596625796899,bogota_2018
sector,hrs_d_pm25_it2,3971949,-2.83095226046457,13.4725420693972,38.5209362287942,-2.82924407324587,11.8747737734508,27.8372492728509,bogota_2018
sector,avg_pm25,3971949,-0.0516089675227233,0.406270398178776,1.03931510877689,-0.0516816606553825,0.354304300229256,0.729895627969523,bogota_2018
localidad,hrs_d_pm10_it1,2951799,1.79908930113466,4.14835969522315,8.05251827863618,1.801050947884,3.22174137187735,5.39079118154321,bogota_2018
localidad,hrs_d_pm10_it2,2951799,6.2874633401529,43.145922876185,77.4928066382586,6.31321241852573,31.0226995863921,46.9643190499191,bogota_2018
localidad,avg_pm10,2951799,1.19298642859778,4.20422679162694,5.97884316753983,1.19749256109671,3.03728896657159,3.58268331454781,bogota_2018
localidad,hrs_d_pm25_it1,2951799,-1.84651631090057,2.91182394194185,6.11756543279401,-1.84568679500537,2.61607810602057,4.60695317759899,bogota_2018
localidad,hrs_d_pm25_it2,2951799,-19.3509226068577,43.4805100211769,71.0414476198689,-19.3253961509931,32.7121890303373,46.335954421745,bogota_2018
localidad,avg_pm25,2951799,-0.292785407074008,1.88532513796151,2.57770150643361,-0.291808941849629,0.968067055060329,1.28118455542775,bogota_2018
municipio,hrs_d_pm10_it1,126498,-0.406607219086468,0.406607219086468,1.65830643635056,-0.406969765253978,0.406969765253978,0.682088381021952,bogota_2018
municipio,hrs_d_pm10_it2,126498,-14.3875792502648,14.4644816518838,24.517922823552,-14.3966952640385,14.3966952640385,17.5389812085218,bogota_2018
municipio,avg_pm10,126498,-3.09231695876179,3.09925348825661,4.27112468006705,-3.09286010746183,3.09286010746183,4.0653116414915,bogota_2018
municipio,hrs_d_pm25_it1,126498,-1.7938307325017,1.7938307325017,2.61196947601406,-1.79400578091951,1.79400578091951,2.22475394139161,bogota_2018
municipio,hrs_d_pm25_it2,126498,-11.7453635630603,13.4723473888915,28.1497643287916,-11.7403090626367,11.7403090626367,14.4690807541327,bogota_2018
municipio,avg_pm25,126498,-1.00321439556617,1.00774488953985,1.70731514375664,-1.00334447515307,1.00334447515307,1.22067716783765,bogota_2018
fine,hrs_d_pm10_it1,1429271,0,0,0,0,0,0,santiago_2017
fine,hrs_d_pm10_it2,1429271,0,0,0,0,0,0,santiago_2017
fine,avg_pm10,1429271,6.79138127984037e-16,2.24112102279461e-15,9.75406393913303e-15,6.4256379808448e-16,2.5630119140093e-15,9.90411717850295e-15,santiago_2017
fine,hrs_d_pm25_it1,1429271,0,0,0,0,0,0,santiago_2017
fine,hrs_d_pm25_it2,1429271,0,0,0,0,0,0,santiago_2017
