level,pollutant,geography_units,catalog_stations,matrix_pairs,active_stations,contributing_stations,stations_gained,stations_lost,covered_units,covered_adult_units,unit_coverage_share,covered_adults,covered_education_adults,adult_coverage_share,mean_eligible_stations,median_nearest_active_km,median_static_neff,mean_hourly_neff,missing_rows,max_row_sum_error,city_id,catalog_eligible_stations,catalog_covered_units,catalog_unit_coverage_share,observed_hours_mean,observed_hours_p10,observed_hours_p90
fine,pm10,57032,58,3307856,48,45,,"",42213,37416,0.740163417029036,4344885,4255038,0.76312419547105,1.07574694908122,2.19370735980808,1,1.26218916824107,14819,2.22044604925031e-16,bogota_2018,54,45721,0.801672745125544,7803.70501978064,6383,8731
fine,pm25,57032,58,3307856,47,44,,"",42111,37326,0.738374947397952,4341174,4251366,0.762472405172942,1.07395847945013,2.19745902194214,1,1.28164330890629,14921,2.22044604925031e-16,bogota_2018,54,45721,0.801672745125544,8187.43190615279,7082,8753
seccion,pm10,3862,58,223996,48,45,,"",2754,2721,0.713102019678923,4323455,4234229,0.759360286527788,1.05334023821854,2.26078483385081,1,1.2751960923287,1108,2.22044604925031e-16,bogota_2018,54,2918,0.755567063697566,7861.43209876543,6383,8731
seccion,pm25,3862,58,223996,47,44,,"",2746,2713,0.711030554117038,4317614,4228451,0.758334388621227,1.05126877265665,2.26459091594587,1,1.29761090658077,1116,2.22044604925031e-16,bogota_2018,54,2918,0.755567063697566,8202.25710123817,7082,8753
sector,pm10,1260,58,73080,48,45,,"",691,675,0.548412698412698,4187130,4100522,0.735416521399921,0.803968253968254,2.69455842262027,1,1.25987772746735,569,2.22044604925031e-16,bogota_2018,54,730,0.579365079365079,7639.79450072359,5483,8729
sector,pm25,1260,58,73080,47,44,,"",685,669,0.543650793650794,4183017,4096457,0.73469412487712,0.799206349206349,2.71158220687586,1,1.28633347386525,575,2.22044604925031e-16,bogota_2018,54,730,0.579365079365079,7941.04233576642,6182,8753
localidad,pm10,40,58,2320,48,19,,CALERA - URBANO;CANADA EL HATO;CARVAJAL-SEVILLANA;CHIA - URBANO;CIUDAD BOLIVAR;COGUA - PTAR I;COLINA;FUNZA - COLEGIO;FUSAGASUGA - URBANO;GARZA BLANCA;GUAYMARAL;JAZMIN;KENNEDY;MADRID - CEMODAE;MOCHUELO - COLEGIO;MOSQUERA - DCMA;SIBATE - LOS SAUCES;SOACHA - COLEGIO;SOACHA - COLISEO;SOACHA - UDPG;SOPO -  PQ JAIME DUQUE;SOPO - BRICENO;SUBA;TOCANCIPA - TIBITOC;ZIPAQUIRA - EFZ;ZIPAQUIRA - URBANO,17,17,0.425,3473437,3401841,0.61006535642356,0.65,3.94432598512376,1,1.24727084069159,23,1.11022302462516e-16,bogota_2018,19,17,0.425,7197.35294117647,3960.6,8651.6
localidad,pm25,40,58,2320,47,19,,CALERA - URBANO;CANADA EL HATO;CARVAJAL-SEVILLANA;CHIA - URBANO;CIUDAD BOLIVAR;COGUA - PTAR I;COLINA;FUNZA - COLEGIO;FUSAGASUGA - URBANO;GARZA BLANCA;GUAYMARAL;JAZMIN;KENNEDY;MADRID - CEMODAE;MOCHUELO - COLEGIO;MOSQUERA - DCMA;SOACHA - COLEGIO;SOACHA - COLISEO;SOACHA - UDPG;SOPO -  PQ JAIME DUQUE;SOPO - BRICENO;SUBA;TOCANCIPA - TIBITOC;ZIPAQUIRA - EFZ;ZIPAQUIRA - URBANO,17,17,0.425,3473437,3401841,0.61006535642356,0.65,3.94432598512376,1,1.28169275959273,23,1.11022302462516e-16,bogota_2018,19,17,0.425,7444,4279.2,8755
municipio,pm10,21,58,1218,48,5,,BOGOTA RURAL - MOCHUELO;BOLIVIA;CALERA - URBANO;CANADA EL HATO;CARVAJAL-SEVILLANA;CENTRO DE ALTO RENDIMIENTO;CHIA - URBANO;CIUDAD BOLIVAR;COGUA - PTAR I;COLINA;COTA - URBANO;FONTIBON;FUNZA - COLEGIO;FUSAGASUGA - URBANO;GARZA BLANCA;GUAYMARAL;JAZMIN;KENNEDY;LAS FERIAS;MADRID - CEMODAE;MINAMBIENTE;MOCHUELO - COLEGIO;MOSQUERA - DCMA;MOVIL 7MA;MOVIL FONTIBON;PUENTE ARANDA;SAN CRISTOBAL;SIBATE - LOS SAUCES;SOACHA - COLEGIO;SOACHA - COLISEO;SOACHA - UDPG;SOPO -  PQ JAIME DUQUE;SOPO - BRICENO;SUBA;TOCANCIPA - TIBITOC;TUNAL;USAQUEN;USME;ZIPAQUIRA - EFZ;ZIPAQUIRA - URBANO,4,4,0.19047619047619,227361,224520,0.0399330891856731,0.238095238095238,4.31792942382671,1,1.00512235463734,17,0,bogota_2018,5,4,0.19047619047619,5626,2818.8,7793.2
municipio,pm25,21,58,1218,47,5,,BOGOTA RURAL - MOCHUELO;BOLIVIA;CALERA - URBANO;CANADA EL HATO;CARVAJAL-SEVILLANA;CENTRO DE ALTO RENDIMIENTO;CHIA - URBANO;CIUDAD BOLIVAR;COGUA - PTAR I;COLINA;COTA - URBANO;FONTIBON;FUNZA - COLEGIO;FUSAGASUGA - URBANO;GARZA BLANCA;GUAYMARAL;JAZMIN;KENNEDY;LAS FERIAS;MADRID - CEMODAE;MINAMBIENTE;MOCHUELO - COLEGIO;MOSQUERA - DCMA;MOVIL 7MA;MOVIL FONTIBON;PUENTE ARANDA;SAN CRISTOBAL;SOACHA - COLEGIO;SOACHA - COLISEO;SOACHA - UDPG;SOPO -  PQ JAIME DUQUE;SOPO - BRICENO;SUBA;TOCANCIPA - TIBITOC;TUNAL;USAQUEN;USME;ZIPAQUIRA - EFZ;ZIPAQUIRA - URBANO,4,4,0.19047619047619,227361,224520,0.0399330891856731,0.238095238095238,4.31792942382671,1,1.00542399816705,17,0,bogota_2018,5,4,0.19047619047619,5444.25,2683.3,7601.4
