level,outcome,units,max_error,differing_units,exact,boundary_reconciled,passed,city_id
fine,avg_pm10,42213,5.61328761250479e-13,0,TRUE,TRUE,TRUE,bogota_2018
fine,hrs_d_pm10_it1,42213,0,0,TRUE,TRUE,TRUE,bogota_2018
fine,hrs_d_pm10_it2,42213,0,0,TRUE,TRUE,TRUE,bogota_2018
fine,avg_pm25,42111,2.41584530158434e-13,0,TRUE,TRUE,TRUE,bogota_2018
fine,hrs_d_pm25_it1,42111,0,0,TRUE,TRUE,TRUE,bogota_2018
fine,hrs_d_pm25_it2,42111,0,0,TRUE,TRUE,TRUE,bogota_2018
seccion,avg_pm10,2754,4.05009359383257e-13,0,TRUE,TRUE,TRUE,bogota_2018
seccion,hrs_d_pm10_it1,2754,0,0,TRUE,TRUE,TRUE,bogota_2018
seccion,hrs_d_pm10_it2,2754,0,0,TRUE,TRUE,TRUE,bogota_2018
seccion,avg_pm25,2746,2.45137243837235e-13,0,TRUE,TRUE,TRUE,bogota_2018
seccion,hrs_d_pm25_it1,2746,0,0,TRUE,TRUE,TRUE,bogota_2018
seccion,hrs_d_pm25_it2,2746,0,0,TRUE,TRUE,TRUE,bogota_2018
sector,avg_pm10,691,3.5527136788005e-13,0,TRUE,TRUE,TRUE,bogota_2018
sector,hrs_d_pm10_it1,691,0,0,TRUE,TRUE,TRUE,bogota_2018
sector,hrs_d_pm10_it2,691,0,0,TRUE,TRUE,TRUE,bogota_2018
sector,avg_pm25,685,1.70530256582424e-13,0,TRUE,TRUE,TRUE,bogota_2018
sector,hrs_d_pm25_it1,685,0,0,TRUE,TRUE,TRUE,bogota_2018
sector,hrs_d_pm25_it2,685,0,0,TRUE,TRUE,TRUE,bogota_2018
localidad,avg_pm10,17,1.52766688188422e-13,0,TRUE,TRUE,TRUE,bogota_2018
localidad,hrs_d_pm10_it1,17,0,0,TRUE,TRUE,TRUE,bogota_2018
localidad,hrs_d_pm10_it2,17,0,0,TRUE,TRUE,TRUE,bogota_2018
localidad,avg_pm25,17,1.26121335597418e-13,0,TRUE,TRUE,TRUE,bogota_2018
localidad,hrs_d_pm25_it1,17,0,0,TRUE,TRUE,TRUE,bogota_2018
localidad,hrs_d_pm25_it2,17,0,0,TRUE,TRUE,TRUE,bogota_2018
municipio,avg_pm10,4,1.06581410364015e-14,0,TRUE,TRUE,TRUE,bogota_2018
municipio,hrs_d_pm10_it1,4,0,0,TRUE,TRUE,TRUE,bogota_2018
municipio,hrs_d_pm10_it2,4,0,0,TRUE,TRUE,TRUE,bogota_2018
municipio,avg_pm25,4,2.66453525910038e-14,0,TRUE,TRUE,TRUE,bogota_2018
municipio,hrs_d_pm25_it1,4,0,0,TRUE,TRUE,TRUE,bogota_2018
municipio,hrs_d_pm25_it2,4,0,0,TRUE,TRUE,TRUE,bogota_2018
fine,avg_pm10,606,1.05870867628255e-12,0,TRUE,TRUE,TRUE,santiago_2017
fine,hrs_d_pm10_it1,606,1,3,FALSE,TRUE,TRUE,santiago_2017
fine,hrs_d_pm10_it2,606,1,4,FALSE,TRUE,TRUE,santiago_2017
fine,avg_pm25,606,5.75539615965681e-13,0,TRUE,TRUE,TRUE,santiago_2017
fine,hrs_d_pm25_it1,606,1,3,FALSE,TRUE,TRUE,santiago_2017
fine,hrs_d_pm25_it2,606,1,4,FALSE,TRUE,TRUE,santiago_2017
distrito,avg_pm10,133,1.05870867628255e-12,0,TRUE,TRUE,TRUE,santiago_2017
distrito,hrs_d_pm10_it1,133,1,1,FALSE,TRUE,TRUE,santiago_2017
distrito,hrs_d_pm10_it2,133,1,1,FALSE,TRUE,TRUE,santiago_2017
distrito,avg_pm25,133,5.75539615965681e-13,0,TRUE,TRUE,TRUE,santiago_2017
distrito,hrs_d_pm25_it1,133,1,1,FALSE,TRUE,TRUE,santiago_2017
distrito,hrs_d_pm25_it2,133,1,1,FALSE,TRUE,TRUE,santiago_2017
comuna,avg_pm10,12,1.05870867628255e-12,0,TRUE,TRUE,TRUE,santiago_2017
comuna,hrs_d_pm10_it1,12,0,0,TRUE,TRUE,TRUE,santiago_2017
comuna,hrs_d_pm10_it2,12,0,0,TRUE,TRUE,TRUE,santiago_2017
comuna,avg_pm25,12,6.28830321147689e-13,0,TRUE,TRUE,TRUE,santiago_2017
comuna,hrs_d_pm25_it1,12,0,0,TRUE,TRUE,TRUE,santiago_2017
comuna,hrs_d_pm25_it2,12,0,0,TRUE,TRUE,TRUE,santiago_2017
fine,avg_pm10,189,4.72510919280467e-13,0,TRUE,TRUE,TRUE,sao_paulo_2010
fine,hrs_d_pm10_it1,189,0,0,TRUE,TRUE,TRUE,sao_paulo_2010
fine,hrs_d_pm10_it2,189,0,0,TRUE,TRUE,TRUE,sao_paulo_2010
fine,avg_pm25,153,2.30926389122033e-13,0,TRUE,TRUE,TRUE,sao_paulo_2010
fine,hrs_d_pm25_it1,153,0,0,TRUE,TRUE,TRUE,sao_paulo_2010
fine,hrs_d_pm25_it2,153,0,0,TRUE,TRUE,TRUE,sao_paulo_2010
municipio,avg_pm10,6,4.72510919280467e-13,0,TRUE,TRUE,TRUE,sao_paulo_2010
municipio,hrs_d_pm10_it1,6,0,0,TRUE,TRUE,TRUE,sao_paulo_2010
municipio,hrs_d_pm10_it2,6,0,0,TRUE,TRUE,TRUE,sao_paulo_2010
municipio,avg_pm25,4,1.10134124042816e-13,0,TRUE,TRUE,TRUE,sao_paulo_2010
municipio,hrs_d_pm25_it1,4,0,0,TRUE,TRUE,TRUE,sao_paulo_2010
municipio,hrs_d_pm25_it2,4,0,0,TRUE,TRUE,TRUE,sao_paulo_2010
