individual_quintile,area_quintile,population,level,outcome,city_id
1,1,249833,fine,hrs_d_pm10_it1,bogota_2018
2,1,242851,fine,hrs_d_pm10_it1,bogota_2018
1,2,209539,fine,hrs_d_pm10_it1,bogota_2018
2,2,227574,fine,hrs_d_pm10_it1,bogota_2018
3,2,168245,fine,hrs_d_pm10_it1,bogota_2018
4,2,139028,fine,hrs_d_pm10_it1,bogota_2018
5,2,40843,fine,hrs_d_pm10_it1,bogota_2018
1,4,117922,fine,hrs_d_pm10_it1,bogota_2018
2,4,158595,fine,hrs_d_pm10_it1,bogota_2018
3,4,182559,fine,hrs_d_pm10_it1,bogota_2018
4,4,314920,fine,hrs_d_pm10_it1,bogota_2018
5,4,188699,fine,hrs_d_pm10_it1,bogota_2018
4,1,75631,fine,hrs_d_pm10_it1,bogota_2018
5,1,13908,fine,hrs_d_pm10_it1,bogota_2018
1,3,169341,fine,hrs_d_pm10_it1,bogota_2018
2,3,208561,fine,hrs_d_pm10_it1,bogota_2018
4,3,210974,fine,hrs_d_pm10_it1,bogota_2018
5,3,83962,fine,hrs_d_pm10_it1,bogota_2018
3,3,192422,fine,hrs_d_pm10_it1,bogota_2018
2,5,35605,fine,hrs_d_pm10_it1,bogota_2018
4,5,174904,fine,hrs_d_pm10_it1,bogota_2018
3,1,105309,fine,hrs_d_pm10_it1,bogota_2018
1,5,58768,fine,hrs_d_pm10_it1,bogota_2018
5,5,572018,fine,hrs_d_pm10_it1,bogota_2018
3,5,113027,fine,hrs_d_pm10_it1,bogota_2018
1,1,249833,fine,hrs_d_pm10_it2,bogota_2018
2,1,242851,fine,hrs_d_pm10_it2,bogota_2018
1,2,209539,fine,hrs_d_pm10_it2,bogota_2018
2,2,227574,fine,hrs_d_pm10_it2,bogota_2018
3,2,168245,fine,hrs_d_pm10_it2,bogota_2018
4,2,139028,fine,hrs_d_pm10_it2,bogota_2018
5,2,40843,fine,hrs_d_pm10_it2,bogota_2018
1,4,117922,fine,hrs_d_pm10_it2,bogota_2018
2,4,158595,fine,hrs_d_pm10_it2,bogota_2018
3,4,182559,fine,hrs_d_pm10_it2,bogota_2018
4,4,314920,fine,hrs_d_pm10_it2,bogota_2018
5,4,188699,fine,hrs_d_pm10_it2,bogota_2018
4,1,75631,fine,hrs_d_pm10_it2,bogota_2018
5,1,13908,fine,hrs_d_pm10_it2,bogota_2018
1,3,169341,fine,hrs_d_pm10_it2,bogota_2018
2,3,208561,fine,hrs_d_pm10_it2,bogota_2018
4,3,210974,fine,hrs_d_pm10_it2,bogota_2018
5,3,83962,fine,hrs_d_pm10_it2,bogota_2018
3,3,192422,fine,hrs_d_pm10_it2,bogota_2018
2,5,35605,fine,hrs_d_pm10_it2,bogota_2018
4,5,174904,fine,hrs_d_pm10_it2,bogota_2018
3,1,105309,fine,hrs_d_pm10_it2,bogota_2018
1,5,58768,fine,hrs_d_pm10_it2,bogota_2018
5,5,572018,fine,hrs_d_pm10_it2,bogota_2018
3,5,113027,fine,hrs_d_pm10_it2,bogota_2018
1,1,249833,fine,avg_pm10,bogota_2018
2,1,242851,fine,avg_pm10,bogota_2018
1,2,209539,fine,avg_pm10,bogota_2018
2,2,227574,fine,avg_pm10,bogota_2018
3,2,168245,fine,avg_pm10,bogota_2018
4,2,139028,fine,avg_pm10,bogota_2018
5,2,40843,fine,avg_pm10,bogota_2018
1,4,117922,fine,avg_pm10,bogota_2018
2,4,158595,fine,avg_pm10,bogota_2018
3,4,182559,fine,avg_pm10,bogota_2018
4,4,314920,fine,avg_pm10,bogota_2018
5,4,188699,fine,avg_pm10,bogota_2018
4,1,75631,fine,avg_pm10,bogota_2018
5,1,13908,fine,avg_pm10,bogota_2018
1,3,169341,fine,avg_pm10,bogota_2018
2,3,208561,fine,avg_pm10,bogota_2018
4,3,210974,fine,avg_pm10,bogota_2018
5,3,83962,fine,avg_pm10,bogota_2018
3,3,192422,fine,avg_pm10,bogota_2018
2,5,35605,fine,avg_pm10,bogota_2018
4,5,174904,fine,avg_pm10,bogota_2018
3,1,105309,fine,avg_pm10,bogota_2018
1,5,58768,fine,avg_pm10,bogota_2018
5,5,572018,fine,avg_pm10,bogota_2018
3,5,113027,fine,avg_pm10,bogota_2018
1,1,248938,fine,hrs_d_pm25_it1,bogota_2018
2,1,242223,fine,hrs_d_pm25_it1,bogota_2018
1,2,209345,fine,hrs_d_pm25_it1,bogota_2018
2,2,227451,fine,hrs_d_pm25_it1,bogota_2018
3,2,167974,fine,hrs_d_pm25_it1,bogota_2018
4,2,138929,fine,hrs_d_pm25_it1,bogota_2018
